method,b_n,cov_median,cov_mean,width_median
PR,31,0.805,0.7674,0.01263844394196412
PR,56,0.86,0.8277,0.014432530845375718
PR,99,0.885,0.8615999999999999,0.01568004205076934
PR,177,0.9,0.8769,0.016316853656427197
PR,316,0.91,0.8848999999999999,0.016697318144036303
PR,562,0.91,0.8883,0.016893614027238844
PR,999,0.91,0.8891,0.016963714059095237
PR,1778,0.91,0.888,0.01688196073170163
PR,3162,0.91,0.8837999999999999,0.016757022000466096
PR,5623,0.9,0.8748,0.016449418223267225
PR,9999,0.88,0.8573000000000001,0.016005576745901466
PR,17782,0.84,0.8240000000000001,0.014933958420091948
PR,25000,0.82,0.7906,0.013901191168680275
RR,31,0.47,0.47450000000000003,0.005684314763923563
RR,56,0.595,0.5914,0.007405342493134603
RR,99,0.71,0.7071999999999999,0.009337649486607154
RR,177,0.81,0.8047,0.011454084495042541
RR,316,0.87,0.8698999999999999,0.01343475173411934
RR,562,0.91,0.907,0.01501606923389737
RR,999,0.925,0.9235,0.015902942459642362
RR,1778,0.93,0.9293,0.016284743097258525
RR,3162,0.93,0.9293,0.01636267958541235
RR,5623,0.93,0.9236,0.016155297256693527
RR,9999,0.92,0.9122,0.015765850684312837
RR,17782,0.88,0.8794,0.014841930041659554
RR,25000,0.85,0.8475,0.013857470446446023
const_0.02,31,0.48,0.4788,0.005802631934231866
const_0.02,56,0.605,0.5972,0.007506157603400763
const_0.02,99,0.71,0.708,0.009419233484515704
const_0.02,177,0.81,0.8048000000000001,0.011503328025006209
const_0.02,316,0.87,0.871,0.013486587460108342
const_0.02,562,0.91,0.9057999999999999,0.015047833774577348
const_0.02,999,0.92,0.9229,0.015917479742282928
const_0.02,1778,0.93,0.9286,0.01629684872212791
const_0.02,3162,0.93,0.9284,0.016372506850756585
const_0.02,5623,0.93,0.9236,0.016168475144182615
const_0.02,9999,0.91,0.9098999999999999,0.015777370117409102
const_0.02,17782,0.88,0.8795999999999999,0.014847194789457813
const_0.02,25000,0.85,0.8482,0.013864405154727543
