method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),23.386293275108738,39.63368552833223,92.0,91.60000000000001,0
const_0.02,alpha=0.02 (const),21.98981184064708,36.749525660734534,90.0,90.09999999999998,0
RR,RR (0.2+0.02),22.010825551350962,36.742585347728884,90.0,89.89999999999998,0
dim_0.2,0.2/sqrt(k) (dim),37.74558431080145,40.99784500931518,77.0,74.9,0
dim_0.02,0.02/sqrt(k) (dim),355.1828540143381,56.54153777969187,0.0,3.2,0
PR_OBM,PR + OBM,23.893187845871278,39.28724589481319,94.0,92.4,0
PR_MSB,PR + MSB,23.893187845871278,38.81029910293028,94.0,91.89999999999999,0
RR_OBM,RR + OBM,22.01082555135104,31.98196264284324,89.0,87.80000000000001,0
RR_MSB,RR + MSB,22.01082555135104,31.383255277570147,89.0,87.50000000000003,0
const_0.2_OBM,a=0.2 + OBM,23.38629327510892,39.98432048808347,94.0,92.6,0
const_0.2_MSB,a=0.2 + MSB,23.38629327510892,39.33316695529233,94.0,92.50000000000001,0
const_0.02_OBM,a=0.02 + OBM,21.989811840647175,32.09041152001926,89.0,87.9,0
const_0.02_MSB,a=0.02 + MSB,21.989811840647175,31.85970592581179,88.0,87.10000000000001,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,21.989811840647175,38.79563311947222,92.0,92.1,0
PR_OBM_RR,PR + OBM-RR,23.893187845871278,38.61179312361528,91.0,91.5,0
RR_OBM_RR,RR + OBM-RR,22.01082555135104,38.774612747374974,92.0,91.79999999999998,0
