method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),29.10575144930307,40.12763361097924,90.0,86.00000000000001,0
const_0.02,alpha=0.02 (const),23.984493708805267,39.742656836712634,92.0,91.20000000000002,0
RR,RR (0.2+0.02),22.015118416628837,39.602148971834644,92.0,92.00000000000001,0
dim_0.2,0.2/sqrt(k) (dim),28.82831235418002,41.750152379827185,86.0,85.2,0
dim_0.02,0.02/sqrt(k) (dim),33.835372933179414,40.69676153641441,81.0,78.99999999999999,0
PR_OBM,PR + OBM,23.893187845871278,39.28724589481319,94.0,92.40000000000002,0
PR_MSB,PR + MSB,23.893187845871278,38.81029910293028,94.0,91.89999999999999,0
RR_OBM,RR + OBM,22.01511841662835,39.98230812408314,94.0,93.90000000000003,0
RR_MSB,RR + MSB,22.01511841662835,39.419865649458806,92.0,92.80000000000001,0
const_0.2_OBM,a=0.2 + OBM,29.105751449303593,40.65137441769839,92.0,87.6,0
const_0.2_MSB,a=0.2 + MSB,29.105751449303593,40.014440932212004,92.0,87.3,0
const_0.02_OBM,a=0.02 + OBM,23.984493708805317,40.185155439979496,94.0,92.10000000000001,0
const_0.02_MSB,a=0.02 + MSB,23.984493708805317,39.67609982735087,93.0,91.70000000000002,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,23.984493708805317,39.55883746439612,91.0,90.69999999999997,0
PR_OBM_RR,PR + OBM-RR,23.893187845871278,38.61179312361528,91.0,91.5,0
RR_OBM_RR,RR + OBM-RR,22.01511841662835,39.39206959283453,92.0,92.0,0
