method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),59.285528189813554,88.72226723203464,87.0,84.89999999999999,0
const_0.02,alpha=0.02 (const),50.11208188522921,86.85107058879349,90.0,89.39999999999999,0
RR,RR (0.2+0.02),46.74777962261552,85.51793602646252,92.0,91.4,0
dim_0.2,0.2/sqrt(k) (dim),89.64106448451575,83.41319941323586,73.0,69.5,0
dim_0.02,0.02/sqrt(k) (dim),192.21283967211494,96.77069691561053,36.0,37.9,0
PR_OBM,PR + OBM,49.194152219661085,84.70266603912584,90.0,90.8,0
PR_MSB,PR + MSB,49.194152219661085,82.83985981206156,90.0,90.5,0
RR_OBM,RR + OBM,46.74777962261546,85.42998449529448,94.0,91.7,0
RR_MSB,RR + MSB,46.74777962261546,84.2153786487922,94.0,91.8,0
const_0.2_OBM,a=0.2 + OBM,59.28552818981336,89.8576646001868,91.0,85.50000000000001,0
const_0.2_MSB,a=0.2 + MSB,59.28552818981336,89.29749810852604,88.0,85.4,0
const_0.02_OBM,a=0.02 + OBM,50.11208188522877,86.87315570923371,91.0,90.69999999999997,0
const_0.02_MSB,a=0.02 + MSB,50.11208188522877,86.15668523536635,89.0,89.39999999999998,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,50.11208188522877,87.18255753625284,90.0,90.39999999999999,0
PR_OBM_RR,PR + OBM-RR,49.194152219661085,84.76238750421314,90.0,90.99999999999999,0
RR_OBM_RR,RR + OBM-RR,46.74777962261546,87.13198060532916,92.0,91.69999999999999,0
