problem_seed,T,T_eff,eta,b_n,lam,estimator,sigma_true,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate,rr_alpha_1,rr_alpha_2,max_a_norm,max_rho,warn_unstable,warn_assumption
1634535063,20000,19000,,0,2.0,ORACLE,1.4231973693020514,26.54029772894482,33.92609332029982,98.0,0,1.4231973693020514,0.0,0.0,1.4231973693020514,0.0,0.0,0.0,0.0,,,,,,
1634535063,20000,19000,0.3,19,0.0,OBM,1.4231973693020514,26.54029772894482,15.364087878489405,64.0,0,0.2923673864632949,-0.7945700345085134,1.2793387870969302,0.2923673864632949,-0.7945700345085134,1.2793387870969302,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.3,19,2.0,OBM_RR,1.4231973693020514,26.54029772894482,24.645707530056217,88.0,0,0.7526147007568895,-0.47118037386059924,0.45430667202570674,0.7526147007568895,-0.47118037386059924,0.45430667202570674,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.4,52,0.0,OBM,1.4231973693020514,26.54029772894482,22.958331290358274,85.0,0,0.6531641022096518,-0.5410586638942642,0.5966347469450524,0.6531641022096518,-0.5410586638942642,0.5966347469450524,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.4,52,2.0,OBM_RR,1.4231973693020514,26.54029772894482,31.643097285625547,97.0,0,1.2426603900666098,-0.12685308666919373,0.05506487523893164,1.2426603900666098,-0.12685308666919373,0.05506487523893164,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.5,141,0.0,OBM,1.4231973693020514,26.54029772894482,29.16162245656123,96.0,0,1.0553619299459842,-0.25845708212379354,0.15132985973143817,1.0553619299459842,-0.25845708212379354,0.15132985973143817,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.5,141,2.0,OBM_RR,1.4231973693020514,26.54029772894482,33.195587107270335,97.0,0,1.3756280186859897,-0.033424282283061095,0.07536162403999651,1.3756280186859897,-0.033424282283061095,0.07536162403999651,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.6,380,0.0,OBM,1.4231973693020514,26.54029772894482,31.777084405313133,97.0,0,1.2586244132173139,-0.11563607383946022,0.07845295420181815,1.2586244132173139,-0.11563607383946022,0.07845295420181815,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.6,380,2.0,OBM_RR,1.4231973693020514,26.54029772894482,32.580236917538144,96.0,0,1.3549856510791078,-0.04792850218406124,0.23549623346416268,1.3549856510791078,-0.04792850218406124,0.23549623346416268,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.7,1024,0.0,OBM,1.4231973693020514,26.54029772894482,32.29885915657034,97.0,0,1.3178352696211015,-0.07403196629896835,0.1620817804057209,1.3178352696211015,-0.07403196629896835,0.1620817804057209,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
1634535063,20000,19000,0.7,1024,2.0,OBM_RR,1.4231973693020514,26.54029772894482,30.54221133887212,93.0,0,1.2636163745047726,-0.11212850602410737,0.6137628577763087,1.2636163745047726,-0.11212850602410737,0.6137628577763087,0.0,0.0,0.2,0.1,0.6945541001652723,0.9748787957217653,False,False
