T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,width_ratio_to_oracle
20000,0.3,19,OBM,19000,100,1.9166471869362713,21.114385017749434,19.169075326136134,66.0,65.14,-0.7684356140299472,-0.7607879756869147,-0.7684356140299472,3.942236153087647,3.942236153087647,0.0,0.0,0,0.48689490943905034
20000,0.3,19,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,30.078808821329908,86.0,86.08,-0.41717678618219756,-0.4070464310230251,-0.41717678618219756,1.338599618609974,1.338599618609974,0.0,0.0,0,0.7640023656815551
20000,0.4,52,OBM,19000,100,1.9166471869362713,21.114385017749434,27.895837074219553,83.0,82.97,-0.49742360692350335,-0.4890848298831609,-0.49742360692350335,1.7840951013754371,1.7840951013754371,0.0,0.0,0,0.7085548381908515
20000,0.4,52,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,37.45765054145643,94.0,94.0,-0.0887018460020898,-0.09092646638681351,-0.0887018460020898,0.15563249620784345,0.15563249620784345,0.0,0.0,0,0.9514250978666379
20000,0.5,141,OBM,19000,100,1.9166471869362713,21.114385017749434,34.58413829121902,91.5,91.5,-0.2217283548926257,-0.22174121751229947,-0.2217283548926257,0.4340554813139616,0.4340554813139616,0.0,0.0,0,0.8784378273255419
20000,0.5,141,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,38.53509645072964,95.0,94.46,-0.02225430803265197,-0.022080188521080134,-0.02225430803265197,0.24169074102443125,0.24169074102443125,0.0,0.0,0,0.9787922462290726
20000,0.6,380,OBM,19000,100,1.9166471869362713,21.114385017749434,37.07228666218896,94.0,93.65,-0.09833672255523448,-0.09843766872035649,-0.09833672255523448,0.2319106073374322,0.2319106073374322,0.0,0.0,0,0.9416368473691717
20000,0.6,380,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,37.16195446645916,93.0,92.89,-0.056350318296484916,-0.058633165503371984,-0.056350318296484916,0.6729961793953915,0.6729961793953915,0.0,0.0,0,0.9439144114507427
20000,0.7,1024,OBM,19000,100,1.9166471869362713,21.114385017749434,37.03174094661698,93.0,93.14,-0.08095451278228748,-0.08290231136451104,-0.08095451278228748,0.4793812454561821,0.4793812454561821,0.0,0.0,0,0.9406069853557107
20000,0.7,1024,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,34.00824670196254,87.0,86.47,-0.16985826554310596,-0.16346476661733333,-0.16978386855626326,1.8327988671699798,1.8237764034791117,0.0091,0.0091,0,0.8638101690568389
20000,0.8,2759,OBM,19000,100,1.9166471869362713,21.114385017749434,34.78709863297034,90.0,89.71,-0.15570272236385513,-0.15600702605092248,-0.15570272236385513,1.2088018503113822,1.2088018503113822,0.0,0.0,0,0.8835930242004788
20000,0.8,2759,OBM_RR,19000,100,1.9166471869362713,21.114385017749434,24.535160438255986,65.5,65.24,-0.4336571574347737,-0.4304537338505268,-0.41320339750029195,4.080395854223567,3.762096244153229,0.1477,0.1477,0,0.6231935821843919
20000,,0,ORACLE,19000,100,1.9166471869362713,21.114385017749434,39.37004670724684,95.5,95.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
100000,0.3,31,OBM,99000,100,1.9166471869362713,9.388474294298888,10.292074637926529,75.0,75.03,-0.6498867069796959,-0.6402425550819687,-0.6498867069796959,2.90203509487551,2.90203509487551,0.0,0.0,0,0.5967298924610471
100000,0.3,31,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,15.098506115351357,91.0,91.08,-0.22745092256125576,-0.22399752902625397,-0.22745092256125576,0.4702028076042988,0.4702028076042988,0.0,0.0,0,0.8754046436211237
100000,0.4,100,OBM,99000,100,1.9166471869362713,9.388474294298888,14.43540165546263,89.0,89.53,-0.2980337155887338,-0.2949401598422424,-0.2980337155887338,0.6914539221523764,0.6914539221523764,0.0,0.0,0,0.8369581430893749
100000,0.4,100,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.123482093690356,95.0,94.52,-0.009852954778077974,-0.010295495351336363,-0.009852954778077974,0.03205093864556861,0.03205093864556861,0.0,0.0,0,0.9928118467653358
100000,0.5,316,OBM,99000,100,1.9166471869362713,9.388474294298888,16.345913486278576,93.5,93.31,-0.09677781877714266,-0.09697077136097786,-0.09677781877714266,0.10037683817303986,0.10037683817303986,0.0,0.0,0,0.9477287660643786
100000,0.5,316,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.089828966986804,95.0,94.53,-0.004822767948609644,-0.005466669097913293,-0.004822767948609644,0.10813339468209592,0.10813339468209592,0.0,0.0,0,0.9908606535039902
100000,0.6,999,OBM,99000,100,1.9166471869362713,9.388474294298888,16.865102360786153,94.0,94.07,-0.03857257283181094,-0.03757960612445111,-0.03857257283181094,0.09631882397374848,0.09631882397374848,0.0,0.0,0,0.9778311052089279
100000,0.6,999,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,16.756557339986735,94.0,93.47,-0.028683644855221575,-0.028536628157272818,-0.028683644855221575,0.34025574801933317,0.34025574801933317,0.0,0.0,0,0.9715377133644758
100000,0.7,3162,OBM,99000,100,1.9166471869362713,9.388474294298888,16.713518324873263,94.0,93.6,-0.040726435327328295,-0.03890642718016184,-0.040726435327328295,0.27292460760975684,0.27292460760975684,0.0,0.0,0,0.9690423304835889
100000,0.7,3162,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,15.864892903716303,91.0,90.42,-0.09735049812987853,-0.0932457093640778,-0.09735049812987853,1.0591470860561991,1.0591200831770693,0.0004,0.0004,0,0.9198394074460308
100000,0.8,10000,OBM,99000,100,1.9166471869362713,9.388474294298888,15.912357174426756,92.0,91.39,-0.10325215727073767,-0.10280584967551143,-0.10325215727073767,0.8356733425699487,0.8356733425699487,0.0,0.0,0,0.922591364670711
100000,0.8,10000,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,12.410267629110432,75.0,75.0,-0.3048455843948035,-0.3078904873770029,-0.2973908741520206,3.22991835130295,3.1234183657447314,0.06709999999999999,0.06709999999999999,0,0.7195417763919202
100000,,0,ORACLE,99000,100,1.9166471869362713,9.388474294298888,17.247459475307526,95.0,94.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
1000000,0.3,63,OBM,999000,100,1.9166471869362713,2.9734129221115366,4.075618958160144,86.0,86.19,-0.4337851642084024,-0.4266447475614805,-0.4337851642084024,1.3848748898873686,1.3848748898873686,0.0,0.0,0,0.7506432563971236
1000000,0.3,63,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.313371634040887,94.0,94.21,-0.04723159043720497,-0.04923994581995982,-0.04723159043720497,0.0334417486145427,0.0334417486145427,0.0,0.0,0,0.9786112555588516
