n,method,x,F_hat,Phi,F_minus_Phi
50000,RR,-3.0,0.003,0.0013498980316300933,0.0016501019683699068
50000,RR,-2.99,0.003,0.0013948872354922468,0.0016051127645077532
50000,RR,-2.98,0.0031,0.0014412419173400134,0.0016587580826599865
50000,RR,-2.97,0.0033,0.0014889987452374632,0.0018110012547625368
50000,RR,-2.96,0.0034,0.0015381952117380577,0.0018618047882619422
50000,RR,-2.95,0.0035,0.0015888696473648667,0.0019111303526351334
50000,RR,-2.94,0.0036,0.0016410612341569964,0.0019589387658430035
50000,RR,-2.93,0.0037,0.0016948100192772598,0.00200518998072274
50000,RR,-2.92,0.0042,0.0017501569286760992,0.0024498430713239005
50000,RR,-2.91,0.0042,0.0018071437808064273,0.0023928562191935726
50000,RR,-2.9,0.0043,0.0018658133003840375,0.0024341866996159625
50000,RR,-2.89,0.0043,0.0019262091321878587,0.0023737908678121413
50000,RR,-2.88,0.0044,0.0019883758548943256,0.0024116241451056747
50000,RR,-2.87,0.0047,0.0020523589949397536,0.0026476410050602465
50000,RR,-2.86,0.0047,0.0021182050404046217,0.0025817949595953785
50000,RR,-2.85,0.0048,0.0021859614549132405,0.002614038545086759
50000,RR,-2.84,0.0049,0.0022556766915423202,0.0026443233084576796
50000,RR,-2.83,0.0049,0.0023274002067315515,0.0025725997932684484
50000,RR,-2.82,0.0049,0.0024011824741892525,0.0024988175258107473
50000,RR,-2.81,0.0049,0.002477074998785861,0.002422925001214139
50000,RR,-2.8,0.0051,0.002555130330427932,0.0025448696695720683
50000,RR,-2.79,0.0053,0.0026354020779049527,0.0026645979220950473
50000,RR,-2.78,0.0055,0.0027179449227012578,0.002782055077298742
50000,RR,-2.77,0.0056,0.002802814632765025,0.002797185367234975
50000,RR,-2.76,0.0059,0.0028900680762261478,0.003009931923773852
50000,RR,-2.75,0.0061,0.002979763235054555,0.0031202367649454453
50000,RR,-2.74,0.0063,0.003071959218650488,0.003228040781349512
50000,RR,-2.73,0.0063,0.0031667162773577934,0.0031332837226422067
50000,RR,-2.7199999999999998,0.0064,0.0032640958158913144,0.003135904184108686
50000,RR,-2.71,0.0064,0.0033641604066691933,0.003035839593330807
50000,RR,-2.7,0.0066,0.0034669738030406647,0.0031330261969593353
50000,RR,-2.69,0.0067,0.0035726009523997368,0.0031273990476002635
50000,RR,-2.68,0.0071,0.00368110800917498,0.0034188919908250204
50000,RR,-2.67,0.0072,0.0037925623476854887,0.003407437652314511
50000,RR,-2.66,0.0072,0.003907032574852774,0.0032929674251472255
50000,RR,-2.65,0.0072,0.004024588542758306,0.0031754114572416937
50000,RR,-2.64,0.0075,0.004145301361036037,0.003354698638963963
50000,RR,-2.63,0.0076,0.004269243409089351,0.0033307565909106492
50000,RR,-2.62,0.0078,0.004396488348121309,0.0034035116518786905
50000,RR,-2.61,0.0081,0.004527111132967324,0.0035728888670326754
50000,RR,-2.6,0.0084,0.004661188023718747,0.0037388119762812528
50000,RR,-2.59,0.0084,0.004798796597126178,0.003601203402873822
50000,RR,-2.58,0.0085,0.004940015757770645,0.003559984242229356
50000,RR,-2.57,0.0086,0.0050849257489910355,0.0035150742510089645
50000,RR,-2.56,0.0089,0.005233608163555782,0.0036663918364442183
50000,RR,-2.55,0.0092,0.005386145954066687,0.003813854045933313
50000,RR,-2.54,0.0093,0.005542623443082601,0.0037573765569173983
50000,RR,-2.53,0.0096,0.005703126332950699,0.0038968736670493
50000,RR,-2.52,0.0096,0.005867741715332562,0.0037322582846674368
50000,RR,-2.51,0.0098,0.006036558080412666,0.0037634419195873335
50000,RR,-2.5,0.0101,0.006209665325776132,0.0038903346742238673
50000,RR,-2.49,0.0102,0.006387154764943171,0.0038128452350568295
50000,RR,-2.48,0.0103,0.006569119135546763,0.003730880864453237
50000,RR,-2.4699999999999998,0.0105,0.006755652607140651,0.0037443473928593495
50000,RR,-2.46,0.0108,0.006946850788624312,0.003853149211375689
50000,RR,-2.45,0.0112,0.007142810735271415,0.004057189264728585
50000,RR,-2.44,0.0115,0.007343630955348342,0.004156369044651657
50000,RR,-2.4299999999999997,0.0115,0.007549411416309213,0.003950588583690787
50000,RR,-2.42,0.0116,0.0077602535505536425,0.0038397464494463567
50000,RR,-2.41,0.0119,0.007976260260733725,0.003923739739266276
50000,RR,-2.4,0.0123,0.008197535924596131,0.004102464075403869
50000,RR,-2.39,0.0127,0.008424186399345685,0.004275813600654314
50000,RR,-2.38,0.0129,0.008656319025516543,0.004243680974483457
50000,RR,-2.37,0.013,0.008894042630336772,0.0041059573696632275
50000,RR,-2.36,0.0133,0.009137467530572669,0.00416253246942733
50000,RR,-2.35,0.0137,0.009386705534838566,0.004313294465161434
50000,RR,-2.34,0.0138,0.00964186994535833,0.004158130054641669
50000,RR,-2.33,0.0138,0.009903075559164245,0.0038969244408357546
50000,RR,-2.32,0.0144,0.01017043866871968,0.004229561331280319
50000,RR,-2.31,0.0147,0.010444077061951083,0.004255922938048917
50000,RR,-2.3,0.0152,0.010724110021675809,0.004475889978324191
50000,RR,-2.29,0.0153,0.011010658324411388,0.004289341675588611
50000,RR,-2.2800000000000002,0.0158,0.01130384423855278,0.004496155761447221
50000,RR,-2.27,0.0162,0.011603791521903535,0.004596208478096464
