n,n0,m_eff,alpha,method,n_samples,diverged,sigma_true,ks_D,ks_D_minus_dkw,dkw_eps_95,mean_Z,var_Z,skew_Z,excess_kurt_Z,coverage_95,q025_error,q975_error
50000,4573,45427,0.08944271909999159,RR,10000,0,1.6538687545395099,0.016473018148425875,0.002892002991019679,0.013581015157406196,-0.0009976333532475525,1.1304897319576594,-0.0204344362685986,0.022876744550436978,0.9326,-0.14349113616780373,0.1300401841691885
50000,4573,45427,0.08944271909999159,single_alpha,10000,0,1.6538687545395099,0.18724411306107402,0.17366309790366782,0.013581015157406196,0.47574920676607835,1.1318190097255638,-0.016092573174332443,0.028711207159731966,0.9096,0.3464674656713542,0.6065995333494802
50000,4573,45427,0.08944271909999159,single_2alpha,10000,0,1.6538687545395099,0.3567684084518678,0.34318739329446163,0.013581015157406196,0.9524960468854043,1.1405990271343307,-0.011944844845367196,0.032946363880935525,0.8258,0.822035393719089,1.0905624472967452
100000,7322,92678,0.06324555320336758,RR,10000,0,1.6538687545395099,0.013714295801205756,0.00013328064379956005,0.013581015157406196,0.000249430808920404,1.0690828366294873,-0.0461119684229016,0.012161096275639327,0.9389,-0.13355617805956754,0.06146666918670718
100000,7322,92678,0.06324555320336758,single_alpha,10000,0,1.6538687545395099,0.19061624264073496,0.17703522748332876,0.013581015157406196,0.4763860112121069,1.0751096965553084,-0.043937587260560136,0.006324786788819647,0.9158,0.3335128114422503,0.5534680872445934
100000,7322,92678,0.06324555320336758,single_2alpha,10000,0,1.6538687545395099,0.3641885741635865,0.35060755900618035,0.013581015157406196,0.9525225916152936,1.0861322783222567,-0.041477131461857664,0.0008325063267604627,0.8343,0.7944509184369954,1.0418235210327054
300000,15219,284781,0.03651483716701107,RR,10000,0,1.6538687545395099,0.011730791224692283,0.0,0.013581015157406196,-0.0042001992089047285,1.0611318453158853,0.01766820161673,0.021659274851482557,0.9418,-0.05384827410357573,0.07550686536131979
300000,15219,284781,0.03651483716701107,single_alpha,10000,0,1.6538687545395099,0.1851932694383085,0.1716122542809023,0.013581015157406196,0.47161281351195283,1.063260326395615,0.01677914411697109,0.01911916570458283,0.9201,0.4172879130531746,0.5519547180360078
300000,15219,284781,0.03651483716701107,single_2alpha,10000,0,1.6538687545395099,0.357102278658889,0.3435212635014828,0.013581015157406196,0.9474258262328116,1.0681189169882945,0.015935548389527,0.016338488193800238,0.8321,0.8906793704267095,1.0394109419602797
1000000,33346,966654,0.02,RR,10000,0,1.6538687545395099,0.006049459822477565,0.0,0.013581015157406196,0.0034868342422621317,1.0178264122864422,-0.04208944469854108,0.04671543765156683,0.9481,-0.008386109424915578,0.03148731142485728
1000000,33346,966654,0.02,single_alpha,10000,0,1.6538687545395099,0.1927839478803237,0.1792029327229175,0.013581015157406196,0.4788984846481395,1.0186093287807034,-0.04105110248528789,0.04264005130805382,0.9189,0.4658586413063066,0.5111425596146391
1000000,33346,966654,0.02,single_2alpha,10000,0,1.6538687545395099,0.36994166901414577,0.3563606538567396,0.013581015157406196,0.9543101350540167,1.0208467464390558,-0.03993588609220005,0.038262645624750125,0.8398,0.9348712238256107,0.9873092483627355
