n,method,x,F_hat,Phi,F_minus_Phi
20000,RR,-3.0,0.003,0.0013498980316300933,0.0016501019683699068
20000,RR,-2.9925,0.003,0.001383513335387413,0.001616486664612587
20000,RR,-2.985,0.0031,0.0014178916190803975,0.0016821083809196024
20000,RR,-2.9775,0.0031,0.0014530482227631703,0.0016469517772368296
20000,RR,-2.97,0.0031,0.0014889987452374632,0.0016110012547625367
20000,RR,-2.9625,0.0031,0.00152575904724126,0.00157424095275874
20000,RR,-2.955,0.0032,0.001563345254649826,0.0016366547453501741
20000,RR,-2.9475,0.0033,0.001601773761688574,0.0016982262383114259
20000,RR,-2.94,0.0033,0.0016410612341569964,0.0016589387658430036
20000,RR,-2.9325,0.0033,0.0016812246126631,0.0016187753873369
20000,RR,-2.925,0.0034,0.0017222811158676254,0.0016777188841323744
20000,RR,-2.9175,0.0035,0.0017642482437372818,0.0017357517562627183
20000,RR,-2.91,0.0036,0.0018071437808064273,0.0017928562191935726
20000,RR,-2.9025,0.0036,0.0018509857994462658,0.0017490142005537341
20000,RR,-2.895,0.0036,0.0018957926631409455,0.0017042073368590544
20000,RR,-2.8875,0.0036,0.001941583029769709,0.0016584169702302909
20000,RR,-2.88,0.0036,0.0019883758548943256,0.0016116241451056743
20000,RR,-2.8725,0.0037,0.00203619039505092,0.00166380960494908
20000,RR,-2.865,0.0039,0.002085046211045508,0.0018149537889544918
20000,RR,-2.8575,0.004,0.002134963171252183,0.001865036828747817
20000,RR,-2.85,0.0041,0.0021859614549132405,0.0019140385450867599
20000,RR,-2.8425,0.0044,0.002238061555440267,0.002161938444559733
20000,RR,-2.835,0.0044,0.002291284283715272,0.0021087157162847283
20000,RR,-2.8275,0.0044,0.0023456507713909835,0.0020543492286090167
20000,RR,-2.82,0.0044,0.0024011824741892525,0.0019988175258107478
20000,RR,-2.8125,0.0044,0.0024579011751966868,0.0019420988248033135
20000,RR,-2.805,0.0045,0.002515828988156486,0.001984171011843514
20000,RR,-2.7975,0.0045,0.0025749883607554197,0.00192501163924458
20000,RR,-2.79,0.0046,0.0026354020779049527,0.0019645979220950472
20000,RR,-2.7825,0.0049,0.0026970932650154647,0.002202906734984535
20000,RR,-2.775,0.0052,0.0027600853912624697,0.00243991460873753
20000,RR,-2.7675,0.0053,0.0028244022728437248,0.0024755977271562753
20000,RR,-2.76,0.0054,0.0028900680762261478,0.0025099319237738525
20000,RR,-2.7525,0.0056,0.0029571073213813565,0.0026428926786186435
20000,RR,-2.745,0.0056,0.0030255448850087514,0.0025744551149912485
20000,RR,-2.7375,0.0058,0.003095406003744857,0.0027045939962551425
20000,RR,-2.73,0.0058,0.0031667162773577934,0.002633283722642206
20000,RR,-2.7225,0.0059,0.0032395016719256914,0.0026604983280743085
20000,RR,-2.715,0.006,0.00331378852299771,0.00268621147700229
20000,RR,-2.7075,0.0061,0.003389603538736472,0.0027103964612635286
20000,RR,-2.7,0.0062,0.0034669738030406647,0.002733026196959335
20000,RR,-2.6925,0.0062,0.0035459267786464303,0.0026540732213535694
20000,RR,-2.685,0.0063,0.0036264903102062747,0.0026735096897937253
20000,RR,-2.6775,0.0063,0.003708692627344171,0.002591307372655829
20000,RR,-2.67,0.0064,0.0037925623476854887,0.0026074376523145116
20000,RR,-2.6625,0.0064,0.0038781284798603483,0.002521871520139652
20000,RR,-2.6550000000000002,0.0065,0.003965420426479076,0.002534579573520924
20000,RR,-2.6475,0.0067,0.004054467987078255,0.002645532012921745
20000,RR,-2.64,0.0068,0.004145301361036037,0.002654698638963963
20000,RR,-2.6325,0.007,0.004237951150455215,0.002762048849544785
20000,RR,-2.625,0.007,0.004332448363012557,0.0026675516369874435
20000,RR,-2.6175,0.0072,0.004428824414773038,0.0027711755852269622
20000,RR,-2.61,0.0073,0.004527111132967324,0.002772888867032676
20000,RR,-2.6025,0.0077,0.0046273407587310526,0.0030726592412689477
