n,n0,m_eff,alpha,method,n_samples,diverged,sigma_true,ks_D,ks_D_minus_dkw,dkw_eps_95,mean_Z,var_Z,skew_Z,excess_kurt_Z,coverage_95,q025_error,q975_error
20000,2423,17577,0.1414213562373095,RR,10000,0,1.6538687545395099,0.021575621553657665,0.007994606396251469,0.013581015157406196,0.0035110533513369605,1.149311175811506,-0.043281221659976624,-0.005187720543806673,0.9346,-0.1580209438609277,0.1004241409619282
20000,2423,17577,0.1414213562373095,single_alpha,10000,0,1.6538687545395099,0.18720658935404622,0.17362557419664001,0.013581015157406196,0.48090420694526653,1.155948125225105,-0.041351078867105914,-0.007122764659902359,0.9047,0.3111968159267604,0.6021229676481075
20000,2423,17577,0.1414213562373095,single_2alpha,10000,0,1.6538687545395099,0.35567378786299786,0.3420927727055917,0.013581015157406196,0.958297360539196,1.175091547233274,-0.039103457634915344,-0.008050159653319788,0.817,0.7728378320802516,1.0865578491266161
30000,3215,26785,0.11547005383792516,RR,10000,0,1.6538687545395099,0.022015264494784054,0.008434249337377858,0.013581015157406196,-0.010067478113829246,1.1452271030471817,0.008988290943628685,0.035981925982381036,0.9348,-0.13676496834109342,0.12354013607843406
30000,3215,26785,0.11547005383792516,single_alpha,10000,0,1.6538687545395099,0.17971330620689951,0.1661322910494933,0.013581015157406196,0.46645827725576144,1.150248505805761,0.010583397264182275,0.03606860141448154,0.9079,0.34531574576182744,0.6062996212760035
30000,3215,26785,0.11547005383792516,single_2alpha,10000,0,1.6538687545395099,0.35543883906734164,0.34185782390993547,0.013581015157406196,0.9429840326253518,1.1652028382689725,0.011642716642013586,0.03622867102280658,0.8233,0.79433172663894,1.1061324508993025
50000,4573,45427,0.08944271909999159,RR,10000,0,1.6538687545395099,0.016089817822374508,0.0025088026649683123,0.013581015157406196,0.004863548301946569,1.1043541185096,0.018085798953959027,-0.01770166637526671,0.9394,-0.07265810911014192,0.1047093495045095
50000,4573,45427,0.08944271909999159,single_alpha,10000,0,1.6538687545395099,0.18687389402274046,0.17329287886533426,0.013581015157406196,0.48156340637816336,1.1055583830825908,0.013935724699121861,-0.009321079259017484,0.9066,0.3997237246175114,0.5800648004532478
50000,4573,45427,0.08944271909999159,single_2alpha,10000,0,1.6538687545395099,0.3612140109726982,0.347632995815292,0.013581015157406196,0.9582632644543803,1.1141491032843298,0.010055207299283315,-0.001696152378066973,0.8248,0.8723085505739854,1.0602802089848398
75000,6028,68972,0.07302967433402215,RR,10000,0,1.6538687545395099,0.019443908024654996,0.0058628928672488,0.013581015157406196,-0.020716278767288487,1.11067492662609,-0.0188771795009874,-0.05611352511792722,0.9367,-0.12352921801102745,0.05782698847584111
