problem,iterate,estimator,b,lam,T,sigma_true,mean,var,mse,rel_bias,bias
1212254291,PR,OBM,7,0.0,20000,4.225610146011072,0.9470478736214872,0.001573571597795678,10.750540998390958,-0.7758790231712479,-3.278562272389585
1212254291,PR,OBM_RR,7,2.0,20000,4.225610146011072,2.282221756723431,0.012621629743750716,3.7893548181022774,-0.4599071665714779,-1.9433883892876413
1212254291,PR,OBM_RR,7,3.0,20000,4.225610146011072,2.674741288483875,0.02036311827342112,2.425516605284589,-0.3670165500220601,-1.5508688575271972
1212254291,PR,OBM_RR,7,4.0,20000,4.225610146011072,2.961075134782756,0.028705756224843854,1.6276971393345903,-0.29925501111881386,-1.264535011228316
1212254291,PR,OBM,19,0.0,20000,4.225610146011072,1.975387966114916,0.009854718723115595,5.073334868182277,-0.5325200626991915,-2.250222179896156
1212254291,PR,OBM_RR,19,2.0,20000,4.225610146011072,3.674740115284043,0.062015390836310504,0.3653491508078359,-0.13036461284698592,-0.5508700307270291
1212254291,PR,OBM_RR,19,3.0,20000,4.225610146011072,3.887731070618333,0.0877711260757766,0.20175785341187727,-0.07995983153147557,-0.3378790753927392
1212254291,PR,OBM_RR,19,4.0,20000,4.225610146011072,3.9971017972844765,0.1123356132664007,0.16432700747762347,-0.054077006829961596,-0.22850834872659576
1212254291,PR,OBM,52,0.0,20000,4.225610146011072,3.1621677997636497,0.04586731949871653,1.176685208651941,-0.2516659865679516,-1.0634423462474225
1212254291,PR,OBM_RR,52,2.0,20000,4.225610146011072,4.227274613872407,0.21712414799838678,0.2166926701556514,0.0003939000058738712,0.001664467861334451
1212254291,PR,OBM_RR,52,3.0,20000,4.225610146011072,4.2334258846688355,0.2791609484265984,0.2786637123005116,0.0018496118637781275,0.007815738657763305
1212254291,PR,OBM_RR,52,4.0,20000,4.225610146011072,4.225031176502772,0.3406325169050342,0.3399515870769157,-0.0001370144164498507,-0.0005789695083002755
1212254291,PR,OBM,141,0.0,20000,4.225610146011072,3.8386036688157557,0.14969971836381266,0.29917433231821416,-0.0915859399761822,-0.38700647719531656
1212254291,PR,OBM_RR,141,2.0,20000,4.225610146011072,4.1866427017172265,0.6260340064797529,0.6263004001815875,-0.009221731997834801,-0.03896744429384569
1212254291,PR,OBM_RR,141,3.0,20000,4.225610146011072,4.160747374946397,0.7979672413064633,0.8005784858940391,-0.015349918431520402,-0.06486277106467497
