problem,iterate,estimator,b,lam,T,sigma_true,mean,var,mse,rel_bias,bias
184566854,PR,OBM,15,0.0,10000,2.111226992591497,1.1403429622005135,0.004249343378664481,0.9468226504131174,-0.4598671927736387,-0.9708840303909834
184566854,PR,OBM_RR,15,2.0,10000,2.111226992591497,1.901973238185682,0.025189084948208044,0.06872432783165495,-0.09911475892460017,-0.20925375440581484
184566854,PR,OBM_RR,15,3.0,10000,2.111226992591497,1.9612141516769297,0.03333296576073291,0.055503488542384745,-0.07105481383147191,-0.15001284091456712
184566854,PR,OBM,63,0.0,10000,2.111226992591497,1.7831557923997818,0.02873235222310162,0.13607574109610296,-0.15539361771280355,-0.328071200191715
184566854,PR,OBM_RR,63,2.0,10000,2.111226992591497,2.020820033581005,0.1259578725539715,0.13287171206595647,-0.04282199845290847,-0.09040695901049167
184566854,PR,OBM_RR,63,3.0,10000,2.111226992591497,2.0140301799065337,0.1760077258469327,0.18369486898457907,-0.04603806839626262,-0.09719681268496316
184566854,PR,OBM,251,0.0,10000,2.111226992591497,1.948405131177659,0.1429952870101676,0.1680762926943331,-0.07712191156384218,-0.16282186141383792
184566854,PR,OBM_RR,251,2.0,10000,2.111226992591497,1.891609048123336,0.6063407583273834,0.6485093922765298,-0.10402384264639554,-0.21961794446816074
184566854,PR,OBM_RR,251,3.0,10000,2.111226992591497,1.8207813337283179,0.6670430137404532,0.7447312643555147,-0.1375719711250289,-0.29044565886317897
184566854,PR,OBM,1000,0.0,10000,2.111226992591497,1.83444272353175,0.4876194354813373,0.5593527727254622,-0.13110114167306977,-0.27678426905974685
184566854,PR,OBM_RR,1000,2.0,10000,2.111226992591497,1.4976571788942397,1.862613014470335,2.2204548006061176,-0.2906223801847617,-0.6135698136972572
184566854,PR,OBM_RR,1000,3.0,10000,2.111226992591497,1.3087780167168754,1.8545715667596174,2.479950209974251,-0.38008654620772364,-0.8024489758746214
1497586439,PR,OBM,15,0.0,10000,2.4820369963571625,1.3495621629717383,0.006219482302666657,1.288656535730985,-0.45626831310231697,-1.1324748333854242
1497586439,PR,OBM_RR,15,2.0,10000,2.4820369963571625,2.2775513714023408,0.036241225544703055,0.07769318410241995,-0.08238621150891033,-0.2044856249548217
1497586439,PR,OBM_RR,15,3.0,10000,2.4820369963571625,2.3514552827853192,0.051324310430490114,0.06786265124554411,-0.05261070393531421,-0.13058171357184323
1497586439,PR,OBM,63,0.0,10000,2.4820369963571625,2.1438328146254224,0.04755758855030715,0.16146408120563976,-0.13626073351368886,-0.33820418173174005
1497586439,PR,OBM_RR,63,2.0,10000,2.4820369963571625,2.4380003694073547,0.21175862014080046,0.211580258452509,-0.017742131569529185,-0.04403662694980781
1497586439,PR,OBM_RR,63,3.0,10000,2.4820369963571625,2.4378023170226535,0.28528508298688904,0.284388939012847,-0.017821925861472392,-0.044234679334508975
1497586439,PR,OBM,251,0.0,10000,2.4820369963571625,2.367627114165154,0.24188900546715847,0.2525597365556764,-0.046095155857840034,-0.11440988219200854
1497586439,PR,OBM_RR,251,2.0,10000,2.4820369963571625,2.3670276105934844,0.9786394950933226,0.982080258956128,-0.04633669277793807,-0.11500938576367803
1497586439,PR,OBM_RR,251,3.0,10000,2.4820369963571625,2.312318632226932,1.1470166630454963,1.1643508195380832,-0.06837866010028167,-0.16971836413023045
1497586439,PR,OBM,1000,0.0,10000,2.4820369963571625,2.2839526410905786,0.8981596047927196,0.9284154205461705,-0.07980717272035365,-0.19808435526658386
1497586439,PR,OBM_RR,1000,2.0,10000,2.4820369963571625,1.8057206013012206,2.6953775843362093,3.1258276747143117,-0.2724844134267774,-0.6763163950559419
1497586439,PR,OBM_RR,1000,3.0,10000,2.4820369963571625,1.5771986171037908,2.7133159703380803,3.5049153032045677,-0.3645547510296524,-0.9048383792533716
1405681632,PR,OBM,15,0.0,10000,1.0944420187069794,0.5623495063948867,0.0013109752729599806,0.28442030717882494,-0.48617697714195,-0.5320925123120928
1405681632,PR,OBM_RR,15,2.0,10000,1.0944420187069794,1.0060547522149317,0.008155803449871766,0.015886554293309336,-0.08076011792426634,-0.08838726649204776
