T,iterate,estimator,b,lam,sigma_true,mean_mean,bias_mean,rel_bias_median,var_mean,mse_mean,n_probs
10000,PR,OBM,15,0.0,2.197082816655154,1.0939397032451397,-1.1031431134100143,-0.49669199442236356,0.00530233859854591,1.5570510240110884,10
10000,PR,OBM,63,0.0,2.197082816655154,1.8560691132730391,-0.3410137033821151,-0.15229473376361374,0.04291678570794241,0.19712917342109754,10
10000,PR,OBM,251,0.0,2.197082816655154,2.0781302923492624,-0.1189525243058915,-0.0526996129218809,0.19334053626022157,0.2101325534713312,10
10000,PR,OBM,1000,0.0,2.197082816655154,1.9770548271598067,-0.2200279894953474,-0.09953015931130703,0.7384893058280362,0.7927655241885407,10
10000,PR,OBM_RR,15,2.0,2.197082816655154,1.9490109650127168,-0.24807185164243717,-0.10391018335801167,0.033547662205445014,0.12528575675465634,10
10000,PR,OBM_RR,15,3.0,2.197082816655154,2.0425925476341216,-0.15449026902103233,-0.06743096802898549,0.04768810305749192,0.08441384800883889,10
10000,PR,OBM_RR,63,2.0,2.197082816655154,2.181894707139271,-0.015188109515882887,-0.01618679382793116,0.1880811579474763,0.18908009025864977,10
10000,PR,OBM_RR,63,3.0,2.197082816655154,2.16684987790072,-0.030232938754433912,-0.02224524785213216,0.24110414224176574,0.24230974996978344,10
10000,PR,OBM_RR,251,2.0,2.197082816655154,2.0322927974977594,-0.16479001915739436,-0.08155905791079977,0.8043543718776709,0.83516576594441,10
10000,PR,OBM_RR,251,3.0,2.197082816655154,1.9810901399266445,-0.21599267672850964,-0.09489635335824403,0.9546736248909543,1.0055396536381203,10
10000,PR,OBM_RR,1000,2.0,2.197082816655154,1.6560057216950743,-0.5410770949600798,-0.25984841943588016,2.5901686299237086,2.9350713072242285,10
10000,PR,OBM_RR,1000,3.0,2.197082816655154,1.4567264856928293,-0.7403563309623248,-0.3476822242562662,2.663589222102188,3.3086314331426605,10
30000,PR,OBM,22,0.0,2.7170781262675736,1.4034542821213978,-1.3136238441461758,-0.46609380674270934,0.005066470285581952,2.7582711668886803,10
30000,PR,OBM,103,0.0,2.7170781262675736,2.386082223089372,-0.3309959031782019,-0.11997767154621464,0.04861199769839202,0.2263689506548498,10
30000,PR,OBM,485,0.0,2.7170781262675736,2.662953325436864,-0.054124800830709384,-0.019680567685545818,0.23244952993386914,0.23587138363544624,10
30000,PR,OBM,2279,0.0,2.7170781262675736,2.5121172442226625,-0.20496088204491128,-0.05869955634277017,0.8902010817136862,0.97644166925243,10
30000,PR,OBM_RR,22,2.0,2.7170781262675736,2.4615055489301527,-0.2555725773374212,-0.08365010434222746,0.03335938144966359,0.16229779237248584,10
30000,PR,OBM_RR,22,3.0,2.7170781262675736,2.5740146963702166,-0.14306342989735693,-0.04794346692834016,0.04902127894939605,0.08978556176665274,10
30000,PR,OBM_RR,103,2.0,2.7170781262675736,2.7563339863287473,0.03925586006117354,0.006641205613919676,0.18582026677944266,0.18952636317829752,10
30000,PR,OBM_RR,103,3.0,2.7170781262675736,2.7503852687838837,0.03330714251631015,0.0022228727645454195,0.2494038724672253,0.25182075268631376,10
30000,PR,OBM_RR,485,2.0,2.7170781262675736,2.6450421528232377,-0.07203597344433563,-0.01675834354584991,0.7957494585372454,0.7993288212209922,10
30000,PR,OBM_RR,485,3.0,2.7170781262675736,2.5727869269534516,-0.14429119931412207,-0.03876161679497625,0.9564407152463117,0.997006182750565,10
30000,PR,OBM_RR,2279,2.0,2.7170781262675736,2.1504931949705193,-0.5665849312970546,-0.20591354580169907,3.681231722740775,4.2357828301906855,10
30000,PR,OBM_RR,2279,3.0,2.7170781262675736,1.9514077332708042,-0.7656703929967694,-0.28045186927299853,4.167743049380869,5.1553932413605175,10
