T,iterate,estimator,b,lam,sigma_true,mean_mean,bias_mean,rel_bias_median,var_mean,mse_mean,n_probs
20000,PR,OBM,7,0.0,7.842871571796513,1.1274714079489134,-6.7154001638476,-0.81731293576556,0.005564608221905895,97.47839664712419,20
20000,PR,OBM,19,0.0,7.842871571796513,2.513246885797537,-5.329624685998977,-0.6001744209672395,0.03876932018369173,66.29092491688709,20
20000,PR,OBM,52,0.0,7.842871571796513,4.619015466419758,-3.2238561053767563,-0.3173185517878132,0.23315974473789783,27.465505262561795,20
20000,PR,OBM,141,0.0,7.842871571796513,6.498016449994077,-1.344855121802437,-0.12517903154230192,1.0443569775076291,6.290425566615578,20
20000,PR,OBM,380,0.0,7.842871571796513,7.354729830821715,-0.4881417409747987,-0.04646971030657375,3.0956997575344944,3.8741237479888837,20
20000,PR,OBM,1024,0.0,7.842871571796513,7.4348903026381565,-0.4079812691583579,-0.04343373064789749,8.208958761740686,8.726998144616687,20
20000,PR,OBM,2759,0.0,7.842871571796513,6.875162086105334,-0.9677094856911801,-0.11667703003697062,18.916865770164524,21.30856759221651,20
20000,PR,OBM_RR,7,2.0,7.842871571796513,2.872186710053932,-4.9706848617425825,-0.5406524503091892,0.04819029292101428,59.81707359972828,20
20000,PR,OBM_RR,7,3.0,7.842871571796513,3.483488806114763,-4.35938276568175,-0.4499728856986931,0.08262322090383457,47.94752679001796,20
20000,PR,OBM_RR,19,2.0,7.842871571796513,5.337055942428992,-2.5058156293675213,-0.21001596235352554,0.29773214717206853,18.9787436413637,20
20000,PR,OBM_RR,19,3.0,7.842871571796513,5.973593356188112,-1.8692782156084025,-0.14700192085859215,0.46992378701007365,11.551368978924677,20
20000,PR,OBM_RR,52,2.0,7.842871571796513,7.416912639060845,-0.4259589327356689,-0.017137133431819905,1.4305858155638227,2.3075468065300866,20
20000,PR,OBM_RR,52,3.0,7.842871571796513,7.641968995875497,-0.20090257592101732,-0.006499581901511671,2.0317014619633134,2.2932031860195705,20
20000,PR,OBM_RR,141,2.0,7.842871571796513,7.903731737526867,0.06086016573035278,0.010639617975799834,4.604778173001796,4.601102154212802,20
20000,PR,OBM_RR,141,3.0,7.842871571796513,7.837047280832712,-0.005824290963801476,0.00044945030918950565,5.614822760446441,5.611246310816041,20
20000,PR,OBM_RR,380,2.0,7.842871571796513,7.592620514808933,-0.2502510569875806,-0.03160586868271903,12.194484607210745,12.374311027438537,20
20000,PR,OBM_RR,380,3.0,7.842871571796513,7.427621424871302,-0.4152501469252118,-0.0541785275774732,15.241343292429884,15.735369943337975,20
20000,PR,OBM_RR,1024,2.0,7.842871571796513,6.806114592085551,-1.036756979710963,-0.11744207026498113,29.46078433138704,32.307784809489156,20
20000,PR,OBM_RR,1024,3.0,7.842871571796513,6.4294255980865245,-1.41344597370999,-0.17156318559994804,33.481250983559804,38.259397586584,20
20000,PR,OBM_RR,2759,2.0,7.842871571796513,5.0491084746129316,-2.7937630971835823,-0.36216842305208813,53.421177477924516,69.75131718026437,20
20000,PR,OBM_RR,2759,3.0,7.842871571796513,3.866351302228341,-3.976520269568173,-0.5030182897772468,39.557205569861196,72.73582425880407,20
