T,b,estimator,lam,sigma_true,mean,bias,var,mse,mean_clamped,mse_clamped,n_traj_used
10000,5,OBM,0.0,5.530043287007115,0.701799119865204,-4.828244167141911,0.0021978648206761537,23.31413685502953,,,800
10000,5,OBM_RR,2.0,5.530043287007115,1.8642132240422524,-3.6658300629648624,0.018937216619451934,13.457223595635645,1.8642132240422524,13.457223595635645,800
10000,5,OBM_RR,3.0,5.530043287007115,2.3037236111579817,-3.2263196758491333,0.03231070301786726,10.441408965410352,2.3037236111579817,10.441408965410352,800
10000,5,OBM_RR,4.0,5.530043287007115,2.6724658561704215,-2.8575774308366935,0.04818065241765983,8.213869199829375,2.6724658561704215,8.213869199829375,800
10000,6,OBM,0.0,5.530043287007115,0.8266086549035038,-4.703434632103611,0.003147797341767013,22.125441201066725,,,800
10000,6,OBM_RR,2.0,5.530043287007115,2.1492903240099395,-3.3807529629971755,0.0267410931641311,11.45619826361186,2.1492903240099395,11.45619826361186,800
10000,6,OBM_RR,3.0,5.530043287007115,2.622711257519279,-2.907332029487836,0.045110108433162543,8.497633250483482,2.622711257519279,8.497633250483482,800
10000,6,OBM_RR,4.0,5.530043287007115,3.0073835521129575,-2.5226597348941575,0.0665234314394824,6.430252415206444,3.0073835521129575,6.430252415206444,800
10000,7,OBM,0.0,5.530043287007115,0.9469468762568161,-4.583096410750299,0.00425838969972426,21.009025776944874,,,800
10000,7,OBM_RR,2.0,5.530043287007115,2.4111392045144537,-3.1189040824926613,0.035648271169701054,9.763166386620126,2.4111392045144537,9.763166386620126,800
10000,7,OBM_RR,3.0,5.530043287007115,2.9073767363535636,-2.6226665506535514,0.05946859008080802,6.937774090260202,2.9073767363535636,6.937774090260202,800
10000,7,OBM_RR,4.0,5.530043287007115,3.2982767123077115,-2.2317665746994035,0.0867568508250193,5.067430448706997,3.2982767123077115,5.067430448706997,800
10000,8,OBM,0.0,5.530043287007115,1.0630055561302345,-4.46703773087688,0.005524622771414756,19.95994380607062,,,800
10000,8,OBM_RR,2.0,5.530043287007115,2.651791346222037,-2.878251940785078,0.0455553298001811,8.329832620270995,2.651791346222037,8.329832620270995,800
10000,8,OBM_RR,3.0,5.530043287007115,3.1617819636507742,-2.3682613233563408,0.07518181075792846,5.683749529200007,3.1617819636507742,5.683749529200007,800
10000,8,OBM_RR,4.0,5.530043287007115,3.551610716253987,-1.978432570753128,0.10852107935155764,4.022580865019201,3.551610716253987,4.022580865019201,800
10000,9,OBM,0.0,5.530043287007115,1.1749681802612515,-4.355075106745863,0.00694178560510737,18.973612293770596,,,800
10000,9,OBM_RR,2.0,5.530043287007115,2.8730525997001233,-2.6569906873069917,0.05636946881291888,7.115898519412983,2.8730525997001233,7.115898519412983,800
10000,9,OBM_RR,3.0,5.530043287007115,3.38946300693862,-2.140580280068495,0.09206800509492376,4.674036855506672,3.38946300693862,4.674036855506672,800
10000,9,OBM_RR,4.0,5.530043287007115,3.772796420464577,-1.757246866542538,0.13150026471728601,3.219252439359959,3.772796420464577,3.219252439359959,800
10000,10,OBM,0.0,5.530043287007115,1.283006171953728,-4.247037115053387,0.00850498598017964,18.0458186113887,,,800
10000,10,OBM_RR,2.0,5.530043287007115,3.0765921722345064,-2.4534511147726086,0.06801275973265854,6.087350116361949,3.0765921722345064,6.087350116361949,800
10000,10,OBM_RR,3.0,5.530043287007115,3.593495793506645,-1.9365474935004698,0.10995389190396883,3.8600326441220427,3.593495793506645,3.8600326441220427,800
10000,10,OBM_RR,4.0,5.530043287007115,3.9663472002201456,-1.5636960867869694,0.1554332658689032,2.6003844261194478,3.9663472002201456,2.6003844261194478,800
10000,11,OBM,0.0,5.530043287007115,1.387281807759318,-4.142761479247797,0.010209272968065376,17.17266918531625,,,800
10000,11,OBM_RR,2.0,5.530043287007115,3.2639258674540965,-2.2661174195530185,0.0804030354146052,5.215590690821967,3.2639258674540965,5.215590690821967,800
10000,11,OBM_RR,3.0,5.530043287007115,3.776571263690397,-1.7534720233167178,0.12867297227919594,3.2031762676182725,3.776571263690397,3.2031762676182725,800
10000,11,OBM_RR,4.0,5.530043287007115,4.13607728984346,-1.3939659971636553,0.18011813490456968,2.123034188484402,4.13607728984346,2.123034188484402,800
10000,12,OBM,0.0,5.530043287007115,1.4879494894567216,-4.042093797550393,0.012049301326591348,16.350556507895295,,,800
10000,12,OBM_RR,2.0,5.530043287007115,3.4364301661644667,-2.0936131208426483,0.09346942160576746,4.476568484593253,3.4364301661644667,4.476568484593253,800
10000,12,OBM_RR,3.0,5.530043287007115,3.9410342958922575,-1.5890089911148575,0.1480866372285031,2.672851102775825,3.9410342958922575,2.672851102775825,800
10000,12,OBM_RR,4.0,5.530043287007115,4.285249052018253,-1.2447942349888619,0.20542846285527208,1.7546843647382102,4.285249052018253,1.7546843647382102,800
10000,13,OBM,0.0,5.530043287007115,1.585154711177263,-3.944888575829852,0.01402007368503578,15.576148424305808,,,800
10000,13,OBM_RR,2.0,5.530043287007115,3.5953590800607556,-1.9346842069463595,0.1071445046089971,3.8500135545858996,3.5953590800607556,3.8500135545858996,800
10000,13,OBM_RR,3.0,5.530043287007115,4.088929410044154,-1.4411138769629614,0.16807398119624695,2.2446730950949703,4.088929410044154,2.2446730950949703,800
