method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),23.943763015840503,39.57894190544451,90.0,90.49999999999999,0
const_0.02,alpha=0.02 (const),21.990340211427956,36.458317317667394,90.0,89.39999999999998,0
RR,RR (0.2+0.02),21.987309164286117,36.44021947006347,90.0,89.39999999999998,0
dim_0.2,0.2/sqrt(k) (dim),37.75252667736588,41.02697906429845,77.0,75.2,0
dim_0.02,0.02/sqrt(k) (dim),355.181110471666,56.549413500380616,0.0,3.2,0
PR_OBM,PR + OBM,24.44020838387446,39.07297754275697,92.0,90.60000000000001,0
PR_MSB,PR + MSB,24.44020838387446,38.909496710289346,92.0,90.7,0
RR_OBM,RR + OBM,21.987309164286177,31.722174141268074,89.0,87.7,0
RR_MSB,RR + MSB,21.987309164286177,31.143724233682793,87.0,87.3,0
const_0.2_OBM,a=0.2 + OBM,23.943763015840393,39.7030302738209,92.0,91.5,0
const_0.2_MSB,a=0.2 + MSB,23.943763015840393,39.1080330032369,93.0,91.8,0
const_0.02_OBM,a=0.02 + OBM,21.99034021142799,31.827436313160483,88.0,87.6,0
const_0.02_MSB,a=0.02 + MSB,21.99034021142799,31.630050291511143,87.0,87.00000000000001,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,21.99034021142799,38.62486821847129,92.0,92.0,0
PR_OBM_RR,PR + OBM-RR,24.44020838387446,38.75145777729058,91.0,90.00000000000001,0
RR_OBM_RR,RR + OBM-RR,21.987309164286177,38.612620531567195,92.0,91.89999999999999,0
