method,label,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,problem_seed,sigma_true,rr_alpha_1,rr_alpha_2,T,T_eff,n_traj,b_n,n_bootstrap,max_a_norm,max_rho,warn_unstable,warn_assumption
RR_BATCH,RR + batch means,3.1144119653587885,5.093917592101503,94.0,0,1843824993,1.7001381961701993,0.2,0.1,1000000,999000,100,3981,500,0.7788366723395868,0.9910725969960036,False,False
RR_ORACLE,RR + oracle variance,3.1145535618096027,5.113726006932913,95.0,0,1843824993,1.7001381961701993,0.2,0.1,1000000,999000,100,3981,500,0.7788366723395868,0.9910725969960036,False,False
RR_OBM,RR + OBM,3.1145535618096027,5.1073407220288765,95.0,0,1843824993,1.7001381961701993,0.2,0.1,1000000,999000,100,3981,500,0.7788366723395868,0.9910725969960036,False,False
RR_OBM_RR,RR + OBM-RR,3.1145535618096027,5.126596093851953,95.0,0,1843824993,1.7001381961701993,0.2,0.1,1000000,999000,100,3981,500,0.7788366723395868,0.9910725969960036,False,False
RR_MSB,RR + MSB,3.1145535618096027,5.050517364446267,94.0,0,1843824993,1.7001381961701993,0.2,0.1,1000000,999000,100,3981,500,0.7788366723395868,0.9910725969960036,False,False
RR_BATCH,RR + batch means,3.5142449094512505,6.7662221651724686,93.0,0,275121931,3.0829958319904613,0.2,0.1,1000000,999000,100,3981,500,0.5797995358321507,0.9809040601384286,False,False
RR_ORACLE,RR + oracle variance,3.514261758707392,6.886234555851997,93.0,0,275121931,3.0829958319904613,0.2,0.1,1000000,999000,100,3981,500,0.5797995358321507,0.9809040601384286,False,False
RR_OBM,RR + OBM,3.514261758707392,6.835848659128201,94.0,0,275121931,3.0829958319904613,0.2,0.1,1000000,999000,100,3981,500,0.5797995358321507,0.9809040601384286,False,False
RR_OBM_RR,RR + OBM-RR,3.514261758707392,6.8091847071688045,94.0,0,275121931,3.0829958319904613,0.2,0.1,1000000,999000,100,3981,500,0.5797995358321507,0.9809040601384286,False,False
RR_MSB,RR + MSB,3.514261758707392,6.747319425743406,93.0,0,275121931,3.0829958319904613,0.2,0.1,1000000,999000,100,3981,500,0.5797995358321507,0.9809040601384286,False,False
RR_BATCH,RR + batch means,2.604068146505295,5.401313090428219,96.0,0,432652533,1.9611068538101502,0.2,0.1,1000000,999000,100,3981,500,0.7171510190072995,0.9811557567616923,False,False
RR_ORACLE,RR + oracle variance,2.6040235525350313,5.492195289378146,97.0,0,432652533,1.9611068538101502,0.2,0.1,1000000,999000,100,3981,500,0.7171510190072995,0.9811557567616923,False,False
RR_OBM,RR + OBM,2.6040235525350313,5.45820636717675,97.0,0,432652533,1.9611068538101502,0.2,0.1,1000000,999000,100,3981,500,0.7171510190072995,0.9811557567616923,False,False
RR_OBM_RR,RR + OBM-RR,2.6040235525350313,5.427577248956589,96.0,0,432652533,1.9611068538101502,0.2,0.1,1000000,999000,100,3981,500,0.7171510190072995,0.9811557567616923,False,False
RR_MSB,RR + MSB,2.6040235525350313,5.4303644338004,95.0,0,432652533,1.9611068538101502,0.2,0.1,1000000,999000,100,3981,500,0.7171510190072995,0.9811557567616923,False,False
RR_BATCH,RR + batch means,2.9370883310300444,6.586584889600371,95.0,0,1580016184,2.9767465568954146,0.2,0.1,1000000,999000,100,3981,500,0.693869447479337,0.9799992470541787,False,False
RR_ORACLE,RR + oracle variance,2.9368077899182796,6.766534065168233,97.0,0,1580016184,2.9767465568954146,0.2,0.1,1000000,999000,100,3981,500,0.693869447479337,0.9799992470541787,False,False
RR_OBM,RR + OBM,2.9368077899182796,6.707134469780329,96.0,0,1580016184,2.9767465568954146,0.2,0.1,1000000,999000,100,3981,500,0.693869447479337,0.9799992470541787,False,False
RR_OBM_RR,RR + OBM-RR,2.9368077899182796,6.648299622967013,96.0,0,1580016184,2.9767465568954146,0.2,0.1,1000000,999000,100,3981,500,0.693869447479337,0.9799992470541787,False,False
RR_MSB,RR + MSB,2.9368077899182796,6.678994243463348,97.0,0,1580016184,2.9767465568954146,0.2,0.1,1000000,999000,100,3981,500,0.693869447479337,0.9799992470541787,False,False
RR_BATCH,RR + batch means,2.9903511832184977,4.682155446925921,94.0,0,1688060241,1.4441085443788395,0.2,0.1,1000000,999000,100,3981,500,0.8471715979797765,0.97691339865281,False,False
RR_ORACLE,RR + oracle variance,2.9905434662268644,4.712976359960332,96.0,0,1688060241,1.4441085443788395,0.2,0.1,1000000,999000,100,3981,500,0.8471715979797765,0.97691339865281,False,False
RR_OBM,RR + OBM,2.9905434662268644,4.690270277189991,95.0,0,1688060241,1.4441085443788395,0.2,0.1,1000000,999000,100,3981,500,0.8471715979797765,0.97691339865281,False,False
RR_OBM_RR,RR + OBM-RR,2.9905434662268644,4.662754868343948,95.0,0,1688060241,1.4441085443788395,0.2,0.1,1000000,999000,100,3981,500,0.8471715979797765,0.97691339865281,False,False
RR_MSB,RR + MSB,2.9905434662268644,4.685889190859886,95.0,0,1688060241,1.4441085443788395,0.2,0.1,1000000,999000,100,3981,500,0.8471715979797765,0.97691339865281,False,False
RR_BATCH,RR + batch means,2.6852608938951907,5.8024051571159285,91.0,0,1130604998,2.1629023445129523,0.2,0.1,1000000,999000,100,3981,500,0.8180013399446049,0.9648496803828693,False,False
RR_ORACLE,RR + oracle variance,2.6852805403439204,5.767847885281381,90.0,0,1130604998,2.1629023445129523,0.2,0.1,1000000,999000,100,3981,500,0.8180013399446049,0.9648496803828693,False,False
RR_OBM,RR + OBM,2.6852805403439204,5.76683731234017,92.0,0,1130604998,2.1629023445129523,0.2,0.1,1000000,999000,100,3981,500,0.8180013399446049,0.9648496803828693,False,False
RR_OBM_RR,RR + OBM-RR,2.6852805403439204,5.802320450100353,94.0,0,1130604998,2.1629023445129523,0.2,0.1,1000000,999000,100,3981,500,0.8180013399446049,0.9648496803828693,False,False
RR_MSB,RR + MSB,2.6852805403439204,5.744866164467748,91.0,0,1130604998,2.1629023445129523,0.2,0.1,1000000,999000,100,3981,500,0.8180013399446049,0.9648496803828693,False,False
RR_BATCH,RR + batch means,3.36335673810147,10.68233492523011,98.0,0,2095133046,7.757954275853825,0.2,0.1,1000000,999000,100,3981,500,0.7856952072177379,0.9732366535263169,False,False
RR_ORACLE,RR + oracle variance,3.363217558136566,10.923679522413218,98.0,0,2095133046,7.757954275853825,0.2,0.1,1000000,999000,100,3981,500,0.7856952072177379,0.9732366535263169,False,False
RR_OBM,RR + OBM,3.363217558136566,10.809570989058765,98.0,0,2095133046,7.757954275853825,0.2,0.1,1000000,999000,100,3981,500,0.7856952072177379,0.9732366535263169,False,False
RR_OBM_RR,RR + OBM-RR,3.363217558136566,10.719655669863007,98.0,0,2095133046,7.757954275853825,0.2,0.1,1000000,999000,100,3981,500,0.7856952072177379,0.9732366535263169,False,False
RR_MSB,RR + MSB,3.363217558136566,10.679119509842117,98.0,0,2095133046,7.757954275853825,0.2,0.1,1000000,999000,100,3981,500,0.7856952072177379,0.9732366535263169,False,False
RR_BATCH,RR + batch means,3.6380849149430423,6.68057156887954,94.0,0,392022359,2.967907203679725,0.2,0.1,1000000,999000,100,3981,500,0.724357336895496,0.9891818939270395,False,False
RR_ORACLE,RR + oracle variance,3.6383087257312834,6.756480093181509,95.0,0,392022359,2.967907203679725,0.2,0.1,1000000,999000,100,3981,500,0.724357336895496,0.9891818939270395,False,False
RR_OBM,RR + OBM,3.6383087257312834,6.688377740287884,95.0,0,392022359,2.967907203679725,0.2,0.1,1000000,999000,100,3981,500,0.724357336895496,0.9891818939270395,False,False
RR_OBM_RR,RR + OBM-RR,3.6383087257312834,6.7025977456254004,94.0,0,392022359,2.967907203679725,0.2,0.1,1000000,999000,100,3981,500,0.724357336895496,0.9891818939270395,False,False
RR_MSB,RR + MSB,3.6383087257312834,6.564274815545394,96.0,0,392022359,2.967907203679725,0.2,0.1,1000000,999000,100,3981,500,0.724357336895496,0.9891818939270395,False,False
