method,label,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,problem_seed,sigma_true,rr_alpha_1,rr_alpha_2,T,T_eff,n_traj,b_n,n_bootstrap,max_a_norm,max_rho,warn_unstable,warn_assumption
RR_BATCH,RR + batch means,23.699370229321577,75.65512949564861,97.0,0,2095133046,7.757954275853825,0.2,0.1,20000,19000,100,380,500,0.7856952072177379,0.9732366535263169,False,False
RR_ORACLE,RR + oracle variance,23.699370229321627,79.20906631190832,97.0,0,2095133046,7.757954275853825,0.2,0.1,20000,19000,100,380,500,0.7856952072177379,0.9732366535263169,False,False
RR_OBM,RR + OBM,23.699370229321627,74.81058183469285,98.0,0,2095133046,7.757954275853825,0.2,0.1,20000,19000,100,380,500,0.7856952072177379,0.9732366535263169,False,False
RR_OBM_RR,RR + OBM-RR,23.699370229321627,77.9419250216433,98.0,0,2095133046,7.757954275853825,0.2,0.1,20000,19000,100,380,500,0.7856952072177379,0.9732366535263169,False,False
RR_MSB,RR + MSB,23.699370229321627,73.53752509959504,97.0,0,2095133046,7.757954275853825,0.2,0.1,20000,19000,100,380,500,0.7856952072177379,0.9732366535263169,False,False
RR_BATCH,RR + batch means,28.262358514592748,43.869654774595716,95.0,0,392022359,2.967907203679725,0.2,0.1,20000,19000,100,380,500,0.724357336895496,0.9891818939270395,False,False
RR_ORACLE,RR + oracle variance,28.262358514592766,48.992143960085144,97.0,0,392022359,2.967907203679725,0.2,0.1,20000,19000,100,380,500,0.724357336895496,0.9891818939270395,False,False
RR_OBM,RR + OBM,28.262358514592766,45.02131946444954,97.0,0,392022359,2.967907203679725,0.2,0.1,20000,19000,100,380,500,0.724357336895496,0.9891818939270395,False,False
RR_OBM_RR,RR + OBM-RR,28.262358514592766,45.6764525635784,95.0,0,392022359,2.967907203679725,0.2,0.1,20000,19000,100,380,500,0.724357336895496,0.9891818939270395,False,False
RR_MSB,RR + MSB,28.262358514592766,44.65143779393806,96.0,0,392022359,2.967907203679725,0.2,0.1,20000,19000,100,380,500,0.724357336895496,0.9891818939270395,False,False
RR_BATCH,RR + batch means,23.61738130747907,56.412559585101405,91.0,0,202244314,4.321050774280965,0.2,0.1,20000,19000,100,380,500,0.7861785897410013,0.9698795742731564,False,False
RR_ORACLE,RR + oracle variance,23.61738130747902,59.1147654749975,95.0,0,202244314,4.321050774280965,0.2,0.1,20000,19000,100,380,500,0.7861785897410013,0.9698795742731564,False,False
RR_OBM,RR + OBM,23.61738130747902,55.75753527508774,92.0,0,202244314,4.321050774280965,0.2,0.1,20000,19000,100,380,500,0.7861785897410013,0.9698795742731564,False,False
RR_OBM_RR,RR + OBM-RR,23.61738130747902,57.404384598240064,92.0,0,202244314,4.321050774280965,0.2,0.1,20000,19000,100,380,500,0.7861785897410013,0.9698795742731564,False,False
RR_MSB,RR + MSB,23.61738130747902,55.3382632902573,93.0,0,202244314,4.321050774280965,0.2,0.1,20000,19000,100,380,500,0.7861785897410013,0.9698795742731564,False,False
RR_BATCH,RR + batch means,20.597290924366558,28.096761377106702,91.0,0,1405681632,1.0944420187069794,0.2,0.1,20000,19000,100,380,500,0.6723387524196869,0.9608867344989493,False,False
RR_ORACLE,RR + oracle variance,20.597290924365645,29.75073266324788,94.0,0,1405681632,1.0944420187069794,0.2,0.1,20000,19000,100,380,500,0.6723387524196869,0.9608867344989493,False,False
RR_OBM,RR + OBM,20.597290924365645,28.10371422000774,90.0,0,1405681632,1.0944420187069794,0.2,0.1,20000,19000,100,380,500,0.6723387524196869,0.9608867344989493,False,False
RR_OBM_RR,RR + OBM-RR,20.597290924365645,28.576629970973375,92.0,0,1405681632,1.0944420187069794,0.2,0.1,20000,19000,100,380,500,0.6723387524196869,0.9608867344989493,False,False
RR_MSB,RR + MSB,20.597290924365645,27.71489272519371,90.0,0,1405681632,1.0944420187069794,0.2,0.1,20000,19000,100,380,500,0.6723387524196869,0.9608867344989493,False,False
RR_BATCH,RR + batch means,22.825317225369247,32.639085382791855,89.0,0,967196436,1.5225872863170185,0.2,0.1,20000,19000,100,380,500,0.71009375439602,0.9744737283784642,False,False
RR_ORACLE,RR + oracle variance,22.82531722536909,35.09072860397365,91.0,0,967196436,1.5225872863170185,0.2,0.1,20000,19000,100,380,500,0.71009375439602,0.9744737283784642,False,False
RR_OBM,RR + OBM,22.82531722536909,33.11038354681245,89.0,0,967196436,1.5225872863170185,0.2,0.1,20000,19000,100,380,500,0.71009375439602,0.9744737283784642,False,False
RR_OBM_RR,RR + OBM-RR,22.82531722536909,33.72625306807819,90.0,0,967196436,1.5225872863170185,0.2,0.1,20000,19000,100,380,500,0.71009375439602,0.9744737283784642,False,False
RR_MSB,RR + MSB,22.82531722536909,32.65693296297716,89.0,0,967196436,1.5225872863170185,0.2,0.1,20000,19000,100,380,500,0.71009375439602,0.9744737283784642,False,False
RR_BATCH,RR + batch means,26.053286544857432,35.10836989398435,94.0,0,1662057958,1.6217304504020316,0.2,0.1,20000,19000,100,380,500,0.6790765424225903,0.9828583565537448,False,False
RR_ORACLE,RR + oracle variance,26.053286544856963,36.21517781112787,97.0,0,1662057958,1.6217304504020316,0.2,0.1,20000,19000,100,380,500,0.6790765424225903,0.9828583565537448,False,False
RR_OBM,RR + OBM,26.053286544856963,34.288733585422605,95.0,0,1662057958,1.6217304504020316,0.2,0.1,20000,19000,100,380,500,0.6790765424225903,0.9828583565537448,False,False
RR_OBM_RR,RR + OBM-RR,26.053286544856963,35.20673647420317,95.0,0,1662057958,1.6217304504020316,0.2,0.1,20000,19000,100,380,500,0.6790765424225903,0.9828583565537448,False,False
RR_MSB,RR + MSB,26.053286544856963,34.175923874760876,95.0,0,1662057958,1.6217304504020316,0.2,0.1,20000,19000,100,380,500,0.6790765424225903,0.9828583565537448,False,False
RR_BATCH,RR + batch means,19.68888656694422,38.3889336490085,93.0,0,942484272,2.1211773083799685,0.2,0.1,20000,19000,100,380,500,0.6856096098338498,0.9800598439929239,False,False
RR_ORACLE,RR + oracle variance,19.688886566944436,41.41806186609501,97.0,0,942484272,2.1211773083799685,0.2,0.1,20000,19000,100,380,500,0.6856096098338498,0.9800598439929239,False,False
RR_OBM,RR + OBM,19.688886566944436,38.58338040883016,96.0,0,942484272,2.1211773083799685,0.2,0.1,20000,19000,100,380,500,0.6856096098338498,0.9800598439929239,False,False
RR_OBM_RR,RR + OBM-RR,19.688886566944436,39.00592876139757,94.0,0,942484272,2.1211773083799685,0.2,0.1,20000,19000,100,380,500,0.6856096098338498,0.9800598439929239,False,False
RR_MSB,RR + MSB,19.688886566944436,38.23156027416538,96.0,0,942484272,2.1211773083799685,0.2,0.1,20000,19000,100,380,500,0.6856096098338498,0.9800598439929239,False,False
RR_BATCH,RR + batch means,18.402560817676548,27.057794474267137,90.0,0,1074497556,0.9918530277480927,0.2,0.1,20000,19000,100,380,500,0.782542343257498,0.9631394294138098,False,False
RR_ORACLE,RR + oracle variance,18.402560817676967,28.322067134917166,91.0,0,1074497556,0.9918530277480927,0.2,0.1,20000,19000,100,380,500,0.782542343257498,0.9631394294138098,False,False
RR_OBM,RR + OBM,18.402560817676967,27.33605118745043,89.0,0,1074497556,0.9918530277480927,0.2,0.1,20000,19000,100,380,500,0.782542343257498,0.9631394294138098,False,False
RR_OBM_RR,RR + OBM-RR,18.402560817676967,27.232150379663484,89.0,0,1074497556,0.9918530277480927,0.2,0.1,20000,19000,100,380,500,0.782542343257498,0.9631394294138098,False,False
RR_MSB,RR + MSB,18.402560817676967,27.130303516396697,90.0,0,1074497556,0.9918530277480927,0.2,0.1,20000,19000,100,380,500,0.782542343257498,0.9631394294138098,False,False
RR_BATCH,RR + batch means,21.07153129097681,33.90997113987257,94.0,0,1843824993,1.7001381961701993,0.2,0.1,20000,19000,100,380,500,0.7788366723395868,0.9910725969960036,False,False
RR_ORACLE,RR + oracle variance,21.071531290976846,37.08031360248076,96.0,0,1843824993,1.7001381961701993,0.2,0.1,20000,19000,100,380,500,0.7788366723395868,0.9910725969960036,False,False
RR_OBM,RR + OBM,21.071531290976846,34.6945100599177,96.0,0,1843824993,1.7001381961701993,0.2,0.1,20000,19000,100,380,500,0.7788366723395868,0.9910725969960036,False,False
RR_OBM_RR,RR + OBM-RR,21.071531290976846,34.12602358078246,94.0,0,1843824993,1.7001381961701993,0.2,0.1,20000,19000,100,380,500,0.7788366723395868,0.9910725969960036,False,False
RR_MSB,RR + MSB,21.071531290976846,34.46898184202915,96.0,0,1843824993,1.7001381961701993,0.2,0.1,20000,19000,100,380,500,0.7788366723395868,0.9910725969960036,False,False
RR_BATCH,RR + batch means,22.045702701071516,39.04744357110886,98.0,0,184566854,2.1112269925914977,0.2,0.1,20000,19000,100,380,500,0.7491233564398936,0.9591915905840974,False,False
RR_ORACLE,RR + oracle variance,22.04570270107187,41.32080284841406,99.0,0,184566854,2.1112269925914977,0.2,0.1,20000,19000,100,380,500,0.7491233564398936,0.9591915905840974,False,False
RR_OBM,RR + OBM,22.04570270107187,39.09146133762738,98.0,0,184566854,2.1112269925914977,0.2,0.1,20000,19000,100,380,500,0.7491233564398936,0.9591915905840974,False,False
RR_OBM_RR,RR + OBM-RR,22.04570270107187,38.81460822125168,97.0,0,184566854,2.1112269925914977,0.2,0.1,20000,19000,100,380,500,0.7491233564398936,0.9591915905840974,False,False
RR_MSB,RR + MSB,22.04570270107187,38.569260996006065,98.0,0,184566854,2.1112269925914977,0.2,0.1,20000,19000,100,380,500,0.7491233564398936,0.9591915905840974,False,False
RR_BATCH,RR + batch means,22.56805868730666,48.746296089299385,92.0,0,796282693,3.4994070452205612,0.2,0.1,20000,19000,100,380,500,0.7676501965691008,0.9862118083480076,False,False
RR_ORACLE,RR + oracle variance,22.568058687306614,53.1983934483615,95.0,0,796282693,3.4994070452205612,0.2,0.1,20000,19000,100,380,500,0.7676501965691008,0.9862118083480076,False,False
RR_OBM,RR + OBM,22.568058687306614,49.42595706437882,92.0,0,796282693,3.4994070452205612,0.2,0.1,20000,19000,100,380,500,0.7676501965691008,0.9862118083480076,False,False
RR_OBM_RR,RR + OBM-RR,22.568058687306614,49.731168210292275,94.0,0,796282693,3.4994070452205612,0.2,0.1,20000,19000,100,380,500,0.7676501965691008,0.9862118083480076,False,False
RR_MSB,RR + MSB,22.568058687306614,48.817085613930054,92.0,0,796282693,3.4994070452205612,0.2,0.1,20000,19000,100,380,500,0.7676501965691008,0.9862118083480076,False,False
RR_BATCH,RR + batch means,18.260231158243748,37.94613018817869,92.0,0,1540770720,2.0848593466381438,0.2,0.1,20000,19000,100,380,500,0.8102771343106778,0.9821970848719925,False,False
RR_ORACLE,RR + oracle variance,18.26023115824378,41.06195915814535,94.0,0,1540770720,2.0848593466381438,0.2,0.1,20000,19000,100,380,500,0.8102771343106778,0.9821970848719925,False,False
RR_OBM,RR + OBM,18.26023115824378,38.07417340991566,92.0,0,1540770720,2.0848593466381438,0.2,0.1,20000,19000,100,380,500,0.8102771343106778,0.9821970848719925,False,False
RR_OBM_RR,RR + OBM-RR,18.26023115824378,39.16044583652934,91.0,0,1540770720,2.0848593466381438,0.2,0.1,20000,19000,100,380,500,0.8102771343106778,0.9821970848719925,False,False
RR_MSB,RR + MSB,18.26023115824378,37.89896803960397,93.0,0,1540770720,2.0848593466381438,0.2,0.1,20000,19000,100,380,500,0.8102771343106778,0.9821970848719925,False,False
RR_BATCH,RR + batch means,18.39294772261361,25.927117994241765,87.0,0,929893138,0.9084848316243732,0.2,0.1,20000,19000,100,380,500,0.7969711608066093,0.9611676845272247,False,False
RR_ORACLE,RR + oracle variance,18.39294772261318,27.105668740612998,93.0,0,929893138,0.9084848316243732,0.2,0.1,20000,19000,100,380,500,0.7969711608066093,0.9611676845272247,False,False
RR_OBM,RR + OBM,18.39294772261318,26.342739082518648,91.0,0,929893138,0.9084848316243732,0.2,0.1,20000,19000,100,380,500,0.7969711608066093,0.9611676845272247,False,False
RR_OBM_RR,RR + OBM-RR,18.39294772261318,26.248547417683895,89.0,0,929893138,0.9084848316243732,0.2,0.1,20000,19000,100,380,500,0.7969711608066093,0.9611676845272247,False,False
RR_MSB,RR + MSB,18.39294772261318,26.231638934286106,89.0,0,929893138,0.9084848316243732,0.2,0.1,20000,19000,100,380,500,0.7969711608066093,0.9611676845272247,False,False
