T,method,label,rr_alpha_1,rr_alpha_2,T_eff,n_problems,n_traj,b_n,n_bootstrap,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,diverged_total,width_ratio_to_oracle
20000,RR_BATCH,RR + batch means,0.2,0.1,19000,100,100,380,500,1.9166471869362713,21.114385017749306,36.90624266698822,92.0,92.47,0,0.9374193264595464
20000,RR_ORACLE,RR + oracle variance,0.2,0.1,19000,100,100,380,500,1.9166471869362713,21.114385017749434,39.37004670724684,95.5,95.16,0,1.0
20000,RR_OBM,RR + OBM,0.2,0.1,19000,100,100,380,500,1.9166471869362713,21.114385017749434,37.07228666218896,94.0,93.65,0,0.9416368473691717
20000,RR_OBM_RR,RR + OBM-RR,0.2,0.1,19000,100,100,380,500,1.9166471869362713,21.114385017749434,37.16195446645916,93.0,92.89,0,0.9439144114507427
20000,RR_MSB,RR + MSB,0.2,0.1,19000,100,100,380,500,1.9166471869362713,21.114385017749434,36.71268105677407,94.0,93.29,0,0.9325028575598914
50000,RR_BATCH,RR + batch means,0.2,0.1,49000,100,100,659,500,1.9166471869362713,13.317619091018312,23.115075192601736,93.0,92.78,0,0.9428673998665789
50000,RR_ORACLE,RR + oracle variance,0.2,0.1,49000,100,100,659,500,1.9166471869362713,13.31761909101867,24.51572214276647,95.0,94.76,0,1.0
50000,RR_OBM,RR + OBM,0.2,0.1,49000,100,100,659,500,1.9166471869362713,13.31761909101867,23.70680270891441,94.0,93.67,0,0.9670040544128643
50000,RR_OBM_RR,RR + OBM-RR,0.2,0.1,49000,100,100,659,500,1.9166471869362713,13.31761909101867,23.480522953260728,93.0,93.08,0,0.9577740690860626
50000,RR_MSB,RR + MSB,0.2,0.1,49000,100,100,659,500,1.9166471869362713,13.31761909101867,23.511885399349563,94.0,93.32,0,0.9590533479874221
100000,RR_BATCH,RR + batch means,0.2,0.1,99000,100,100,999,500,1.9166471869362713,9.389765758322717,16.642043520157138,93.5,93.22,0,0.9648982532171108
100000,RR_ORACLE,RR + oracle variance,0.2,0.1,99000,100,100,999,500,1.9166471869362713,9.388474294298888,17.247459475307526,95.0,94.67,0,1.0
100000,RR_OBM,RR + OBM,0.2,0.1,99000,100,100,999,500,1.9166471869362713,9.388474294298888,16.865102360786153,94.0,94.07,0,0.9778311052089279
100000,RR_OBM_RR,RR + OBM-RR,0.2,0.1,99000,100,100,999,500,1.9166471869362713,9.388474294298888,16.756557339986735,94.0,93.47,0,0.9715377133644758
100000,RR_MSB,RR + MSB,0.2,0.1,99000,100,100,999,500,1.9166471869362713,9.388474294298888,16.660613107287638,94.0,93.57,0,0.9659749095882758
300000,RR_BATCH,RR + batch means,0.2,0.1,299000,100,100,1933,500,1.9166471869362713,5.4263201228206555,9.736999226768699,94.0,93.86,0,0.9811106706865544
300000,RR_ORACLE,RR + oracle variance,0.2,0.1,299000,100,100,1933,500,1.9166471869362713,5.427599221092262,9.92446572816807,95.0,94.85,0,1.0
300000,RR_OBM,RR + OBM,0.2,0.1,299000,100,100,1933,500,1.9166471869362713,5.427599221092262,9.818872982860189,94.0,94.5,0,0.9893603597211099
300000,RR_OBM_RR,RR + OBM-RR,0.2,0.1,299000,100,100,1933,500,1.9166471869362713,5.427599221092262,9.818865361778785,94.0,94.2,0,0.9893595918126288
300000,RR_MSB,RR + MSB,0.2,0.1,299000,100,100,1933,500,1.9166471869362713,5.427599221092262,9.724218523343536,94.0,93.97,0,0.9798228730584274
1000000,RR_BATCH,RR + batch means,0.2,0.1,999000,100,100,3981,500,1.9166471869362713,2.9735904408741005,5.377129553855516,94.0,94.2,0,0.9903541228489687
1000000,RR_ORACLE,RR + oracle variance,0.2,0.1,999000,100,100,3981,500,1.9166471869362713,2.9734129221115366,5.42950186180579,95.0,94.81,0,1.0
1000000,RR_OBM,RR + OBM,0.2,0.1,999000,100,100,3981,500,1.9166471869362713,2.9734129221115366,5.416808398036517,95.0,94.6,0,0.9976621310587319
1000000,RR_OBM_RR,RR + OBM-RR,0.2,0.1,999000,100,100,3981,500,1.9166471869362713,2.9734129221115366,5.391139513733224,95.0,94.41,0,0.9929344626728228
1000000,RR_MSB,RR + MSB,0.2,0.1,999000,100,100,3981,500,1.9166471869362713,2.9734129221115366,5.358598369598921,95.0,94.41,0,0.9869410686262685
