scenario,lazy_prob,T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,slem_median,spectral_gap_median,relaxation_time_median,max_rho_median,warn_unstable_rate,width_ratio_to_oracle
baseline,0.0,100000,0.4,100,OBM,99000,100,1.9166471869362713,9.388474294298888,14.43540165546263,89.0,89.53,-0.2980337155887338,-0.2949401598422425,-0.2980337155887338,0.6914539221523764,0.6914539221523764,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.8369581430893749
baseline,0.0,100000,0.4,100,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.123482093690356,95.0,94.52,-0.009852954778077974,-0.010295495351336363,-0.009852954778077974,0.03205093864556861,0.03205093864556861,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9928118467653358
baseline,0.0,100000,0.5,316,OBM,99000,100,1.9166471869362713,9.388474294298888,16.345913486278576,93.5,93.31,-0.09677781877714266,-0.09697077136097786,-0.09677781877714266,0.10037683817303986,0.10037683817303986,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9477287660643786
baseline,0.0,100000,0.5,316,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.089828966986804,95.0,94.53,-0.004822767948609644,-0.005466669097913293,-0.004822767948609644,0.10813339468209592,0.10813339468209592,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9908606535039902
baseline,0.0,100000,0.6,999,OBM,99000,100,1.9166471869362713,9.388474294298888,16.865102360786153,94.0,94.07,-0.03857257283181094,-0.03757960612445111,-0.03857257283181094,0.09631882397374848,0.09631882397374848,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9778311052089279
baseline,0.0,100000,0.6,999,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,16.756557339986735,94.0,93.47,-0.028683644855221575,-0.028536628157272818,-0.028683644855221575,0.34025574801933317,0.34025574801933317,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9715377133644758
baseline,0.0,100000,,0,ORACLE,99000,100,1.9166471869362713,9.388474294298888,17.247459475307526,95.0,94.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,1.0
baseline,0.0,1000000,0.4,251,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.102019500591635,93.0,93.27,-0.12107366348587859,-0.12005437711476417,-0.12107366348587859,0.12004404511675837,0.12004404511675837,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9396846396687231
baseline,0.0,1000000,0.4,251,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.440307419196385,95.0,94.82,0.0018944033793545571,0.0025502860409420663,0.0018944033793545571,0.008014089805095898,0.008014089805095898,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,1.0019901563100304
baseline,0.0,1000000,0.5,1000,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.357217396990707,95.0,94.46,-0.028336605730914836,-0.028826113737873926,-0.028336605730914836,0.015453872259888767,0.015453872259888767,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9866867225290826
baseline,0.0,1000000,0.5,1000,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.43222713427089,95.0,94.72,-0.0008523112759606423,-0.0005735663213952118,-0.0008523112759606423,0.03434929879296414,0.03434929879296414,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,1.0005019378452138
baseline,0.0,1000000,0.6,3981,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.416808398036517,95.0,94.6,-0.009508047492664488,-0.008748269205710127,-0.009508047492664488,0.03517505981035836,0.03517505981035836,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9976621310587319
baseline,0.0,1000000,0.6,3981,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.391139513733224,95.0,94.41,-0.011052765245241796,-0.009395161524477492,-0.011052765245241796,0.13820542038212077,0.13820542038212077,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,0.9929344626728228
baseline,0.0,1000000,,0,ORACLE,999000,100,1.9166471869362713,2.9734129221115366,5.42950186180579,95.0,94.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1865272286653914,0.8134727713346086,1.229297645809034,0.9723602790180893,0.0,1.0
lazy_0p50,0.5,100000,0.4,100,OBM,99000,100,5.808960968380143,16.34919349732617,25.395019617831423,89.0,89.38,-0.2949204607372358,-0.29052946179875144,-0.2949204607372358,5.919332521285521,5.919332521285521,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.84574462408485
lazy_0p50,0.5,100000,0.4,100,OBM_RR,99000,100,5.808960968380143,16.34919349732617,29.884396049475356,95.0,94.56,-0.005656350744817429,-0.004764980690211732,-0.005656350744817429,0.2827289169760607,0.2827289169760607,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9952568528484012
lazy_0p50,0.5,100000,0.5,316,OBM,99000,100,5.808960968380143,16.34919349732617,28.568405006771577,94.0,93.42,-0.09308049534824296,-0.09188366499803963,-0.09308049534824296,0.8567867652061399,0.8567867652061399,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9514296628536735
lazy_0p50,0.5,100000,0.5,316,OBM_RR,99000,100,5.808960968380143,16.34919349732617,29.690218987786213,95.0,94.39,0.0024232942418530162,0.0015094228703789484,0.0024232942418530162,0.9397003811634321,0.9397003811634321,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9887900649303139
lazy_0p50,0.5,100000,0.6,999,OBM,99000,100,5.808960968380143,16.34919349732617,29.289366698643498,94.0,94.11,-0.02970403379607346,-0.030584915567703073,-0.02970403379607346,0.8215690765066848,0.8215690765066848,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9754402556489494
lazy_0p50,0.5,100000,0.6,999,OBM_RR,99000,100,5.808960968380143,16.34919349732617,29.14138393030438,94.0,93.87,-0.018035624672355022,-0.018924519793244096,-0.018035624672355022,2.96605290702791,2.96605290702791,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9705119022685045
lazy_0p50,0.5,100000,,0,ORACLE,99000,100,5.808960968380143,16.34919349732617,30.02681766415065,95.0,94.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,1.0
lazy_0p50,0.5,1000000,0.4,251,OBM,999000,100,5.808960968380143,5.414135252094969,8.899389758164247,92.0,91.97,-0.1133707290538843,-0.11336449897958514,-0.1133707290538843,0.9662825822372948,0.9662825822372948,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9414907719713409
