method,label,rr_alpha_1,rr_alpha_2,T,n_problems,n_traj,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.04 (const),0.04,0.02,1000000,100,100,3.2535317036103315,5.368675518061029,92.0,91.09999999999998,0
const_0.02,alpha=0.02 (const),0.04,0.02,1000000,100,100,3.0541014068654424,5.358900755500885,94.0,93.27,0
RR,RR (0.04+0.02),0.04,0.02,1000000,100,100,2.968934350209294,5.355818194091772,94.0,94.18999999999998,0
dim_0.2,0.04/sqrt(k) (dim),0.04,0.02,1000000,100,100,22.24682599155902,11.36050184460841,48.0,42.04,0
dim_0.02,0.02/sqrt(k) (dim),0.04,0.02,1000000,100,100,52.53852360628549,17.808629779554582,0.0,9.720000000000002,0
PR_OBM,PR + OBM,0.04,0.02,1000000,100,100,3.476950410561291,5.39358090896773,92.0,88.86,0
PR_MSB,PR + MSB,0.04,0.02,1000000,100,100,3.476950410561291,5.354547838826486,91.0,88.45,0
RR_OBM,RR + OBM,0.04,0.02,1000000,100,100,2.96886014988341,5.3269567030564335,94.0,94.32,0
RR_MSB,RR + MSB,0.04,0.02,1000000,100,100,2.96886014988341,5.28047545950475,94.0,94.05,0
const_0.2_OBM,a=0.04 + OBM,0.04,0.02,1000000,100,100,3.2534136154185878,5.395308233653094,93.0,91.47999999999999,0
const_0.2_MSB,a=0.04 + MSB,0.04,0.02,1000000,100,100,3.2534136154185878,5.3330673089105,92.0,91.24999999999999,0
const_0.02_OBM,a=0.02 + OBM,0.04,0.02,1000000,100,100,3.0540409444937375,5.344770617909236,94.0,93.43999999999998,0
const_0.02_MSB,a=0.02 + MSB,0.04,0.02,1000000,100,100,3.0540409444937375,5.307721021440545,93.0,93.21999999999998,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,0.04,0.02,1000000,100,100,3.0540409444937375,5.38775673658183,94.0,93.66999999999999,0
PR_OBM_RR,PR + OBM-RR,0.04,0.02,1000000,100,100,3.476950410561291,5.39657510619368,92.0,88.69,0
RR_OBM_RR,RR + OBM-RR,0.04,0.02,1000000,100,100,2.96886014988341,5.38462929603685,95.0,94.51,0
