method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),48.646410079441914,86.16541235717746,90.0,90.39999999999999,0
const_0.02,alpha=0.02 (const),46.49946765676372,67.24430654450417,88.0,85.10000000000002,0
RR,RR (0.2+0.02),46.52782575747424,67.1044972224083,87.0,84.60000000000001,0
dim_0.2,0.2/sqrt(k) (dim),249.36573868471413,105.80803752624867,16.0,28.199999999999996,0
dim_0.02,0.02/sqrt(k) (dim),1144.2663402214932,79.65035866280729,0.0,0.0,0
PR_OBM,PR + OBM,49.194152219661085,84.70266603912584,90.0,90.80000000000001,0
PR_MSB,PR + MSB,49.194152219661085,82.83985981206156,90.0,90.5,0
RR_OBM,RR + OBM,46.52782575747412,51.50202047829933,76.0,75.0,0
RR_MSB,RR + MSB,46.52782575747412,50.82221552200952,75.0,74.20000000000002,0
const_0.2_OBM,a=0.2 + OBM,48.646410079442326,85.44398774438041,92.0,90.8,0
const_0.2_MSB,a=0.2 + MSB,48.646410079442326,84.65512962431872,90.0,90.09999999999998,0
const_0.02_OBM,a=0.02 + OBM,46.499467656763635,51.36220934266806,78.0,74.9,0
const_0.02_MSB,a=0.02 + MSB,46.499467656763635,51.30539488884224,77.0,73.8,0
const_0.02_OBM_RR,a=0.02 + OBM-RR,46.499467656763635,72.78549410127516,90.0,87.10000000000001,0
PR_OBM_RR,PR + OBM-RR,49.194152219661085,84.76238750421314,90.0,90.99999999999999,0
RR_OBM_RR,RR + OBM-RR,46.52782575747412,72.76610329786686,90.0,86.5,0
