method,label,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),8.7806478059964,0.8929695444615993,0.0,8.82,502
const_0.02,alpha=0.02 (const),1.0150981551330083,0.8145923301997492,73.0,58.78,100
RR,RR (0.2+0.02),0.48962104721474325,0.8085546844685365,92.0,86.0,502
dim_0.2,0.2/sqrt(k) (dim),0.6822737616954256,1.1466052086695793,94.0,93.75999999999998,0
dim_0.02,0.02/sqrt(k) (dim),1.188857717571572,1.2227145520573695,87.0,82.03999999999999,0
PR_OBM,PR + OBM,0.4772249962592328,0.625203250413503,87.0,85.34,0
PR_MSB,PR + MSB,0.4772249962592328,0.6173889068563417,85.0,84.81000000000002,0
RR_OBM,RR + OBM,0.4896725911591977,0.8181328305298596,93.0,86.30000000000001,578
RR_MSB,RR + MSB,0.4896725911591977,0.8061653529582213,93.0,85.82000000000001,578
const_0.2_OBM,a=0.2 + OBM,8.780624908792502,0.9133796105138471,0.0,8.69,578
const_0.2_MSB,a=0.2 + MSB,8.780624908792502,0.9010181110861962,0.0,8.56,578
const_0.02_OBM,a=0.02 + OBM,1.0151536614632635,0.8208081388564399,73.0,59.38,100
const_0.02_MSB,a=0.02 + MSB,1.0151536614632635,0.8127912799372052,70.5,58.849999999999994,100
const_0.02_OBM_RR,a=0.02 + OBM-RR,1.0151536614632635,0.8160872519223564,72.5,58.96,100
PR_OBM_RR,PR + OBM-RR,0.4772249962592328,0.7842334915456269,93.0,92.69000000000001,0
RR_OBM_RR,RR + OBM-RR,0.4896725911591977,0.812232996950656,92.0,85.99000000000001,578
