estimator,lam,T,b,bias,var,mse_selected,eta,target_b,eta_actual,log_b_error,abs_bias,bias_sq,bias_sq_plus_var
OBM,0.0,10000,5,-4.828244167141911,0.0021978648206761,23.31413685502953,0.15,3.9810717055349722,0.1747425010840047,0.22788685663767297,4.828244167141911,23.311941737539883,23.31413960236056
OBM,0.0,10000,5,-4.828244167141911,0.0021978648206761,23.31413685502953,0.175,5.011872336272722,0.1747425010840047,0.002371652661731426,4.828244167141911,23.311941737539883,23.31413960236056
OBM,0.0,10000,6,-4.703434632103611,0.003147797341767,22.125441201066725,0.2,6.309573444801933,0.19453781259591088,0.050308605167181636,4.703434632103611,22.12229733847163,22.125445135813397
OBM,0.0,10000,8,-4.46703773087688,0.0055246227714147,19.95994380607062,0.225,7.943282347242816,0.22577249674798586,0.007114957985194649,4.46703773087688,19.954426089077668,19.959950711849082
OBM,0.0,10000,10,-4.247037115053387,0.0085049859801796,18.0458186113887,0.25,10.0,0.25,0.0,4.247037115053387,18.037324256640996,18.045829242621178
OBM,0.0,10000,13,-3.944888575829852,0.0140200736850357,15.576148424305808,0.275,12.589254117941675,0.2784858380767092,0.032105755168086385,3.944888575829852,15.562145875712877,15.576165949397913
OBM,0.0,10000,16,-3.672644835830979,0.0206658674259891,13.508960125247665,0.3,15.848931924611133,0.30102999566398114,0.009486610646926505,3.672644835830979,13.488320090155959,13.508985957581949
OBM,0.0,10000,20,-3.350244114912998,0.0310625019708789,11.255159303352592,0.325,19.952623149688797,0.32525749891599526,0.002371652661731522,3.350244114912998,11.224135629509176,11.255198131480055
OBM,0.0,10000,25,-3.002796269670516,0.0461502785591352,9.0628780278581,0.35,25.118864315095795,0.3494850021680094,0.0047433053234629385,3.002796269670516,9.016785437147167,9.062935715706303
OBM,0.0,10000,32,-2.600583860784066,0.0703383365172275,6.8332868305671415,0.375,31.622776601683793,0.37628749457997646,0.011858263308657958,2.600583860784066,6.763036416970559,6.833374753487787
OBM,0.0,10000,40,-2.234531343853573,0.1010705662724538,5.094074554728669,0.4,39.810717055349734,0.40051499783199057,0.004743305323462996,2.234531343853573,4.993130326664056,5.0942008929365095
OBM,0.0,10000,51,-1.850738342455017,0.1467511723740453,3.5718001456417223,0.425,50.11872336272722,0.42689254402448407,0.017430974634448308,1.850738342455017,3.425232412233144,3.5719835846071892
OBM,0.0,10000,65,-1.4995994377621678,0.2087766644572302,2.4573141673632675,0.45,63.09573444801933,0.4532283391607138,0.02973410250635483,1.4995994377621678,2.24879847373661,2.4575751381938398
OBM,0.0,10000,82,-1.2054684383818683,0.2862950345287796,1.7390913216704391,0.475,79.43282347242814,0.4784534630959292,0.03180757057556654,1.2054684383818683,1.4531541559348202,1.7394491904635998
OBM,0.0,10000,103,-0.9632953728319168,0.3808100479437366,1.3082720107031884,0.5,100.0,0.503209306176293,0.02955880224154443,0.9632953728319168,0.9279379753193816,1.3087480232631181
OBM,0.0,10000,130,-0.7652118081176926,0.4975933263610366,1.0825204459858335,0.525,125.89254117941675,0.5284858380767091,0.03210575516808617,0.7652118081176926,0.5855491112827484,1.083142437643785
