estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM,0.0,0.15,OBM,9,10000,1000000,0.04185311683930188,-0.04185311683930188,15.895251061748732,0.9918629662585439,0.3,-0.34185311683930186,0.06845959537670425,0.22788685663767297
OBM,0.0,0.175,OBM,9,10000,1000000,0.0414653780740124,-0.0414653780740124,15.33987826374637,0.9124259221161944,0.35,-0.3914653780740124,0.04176448561861887,0.09918901370953807
OBM,0.0,0.2,OBM,9,10000,1000000,0.04467577146351233,-0.04467577146351233,13.94462416278198,0.8656987282016697,0.4,-0.44467577146351234,0.036812364709060026,0.05952331801932924
OBM,0.0,0.225,OBM,9,10000,1000000,0.049529594391538576,-0.049529594391538576,12.131564397268251,0.9140117632385335,0.45,-0.4995295943915386,0.020595227395433426,0.03831614414207903
OBM,0.0,0.25,OBM,9,10000,1000000,0.05650069122837113,-0.05650069122837113,9.977541298494717,0.8331127702111762,0.5,-0.5565006912283711,0.010589789642729443,0.02249430632960012
OBM,0.0,0.275,OBM,9,10000,1000000,0.06060045669485939,-0.06060045669485939,8.259488359660095,0.7961561013696858,0.55,-0.6106004566948594,0.012776727474051924,0.032105755168086385
OBM,0.0,0.3,OBM,9,10000,1000000,0.06101695340250149,-0.06101695340250149,6.865059735252735,0.6409271473705755,0.6,-0.6610169534025014,0.01033237107902495,0.02660728659439795
OBM,0.0,0.325,OBM,9,10000,1000000,0.060340470175215107,-0.060340470175215107,5.477894620579128,0.4895965315403631,0.65,-0.7103404701752152,0.01439740107467672,0.025691343491984212
OBM,0.0,0.35,OBM,9,10000,1000000,0.05317079735100117,-0.05317079735100117,4.510918687948011,0.31283112904113586,0.65,-0.7031707973510012,0.013674401862049138,0.024383709074176592
OBM,0.0,0.375,OBM,9,10000,1000000,0.04533071716168373,-0.04533071716168373,3.4689107383095354,0.17946560638235776,0.625,-0.6703307171616837,0.024712384347988694,0.0341192983723828
OBM,0.0,0.4,OBM,9,10000,1000000,0.021791591792973304,-0.021791591792973304,3.0386879780032507,0.0328421203098046,0.6,-0.6217915917929733,0.027066823487759743,0.03831618413698343
OBM,0.0,0.425,OBM,9,10000,1000000,-0.010752952712244076,0.010752952712244076,2.7840706657646885,0.0063943195056574975,0.575,-0.5642470472877559,0.031278758730187414,0.041911018503453766
OBM,0.0,0.45,OBM,9,10000,1000000,-0.05562799245550725,0.05562799245550725,2.8188334705216165,0.1266528950146163,0.55,-0.4943720075444928,0.03755306121774504,0.04641851150770025
OBM,0.0,0.475,OBM,9,10000,1000000,-0.12220002502266943,0.12220002502266943,3.678861143302972,0.39586809387679356,0.525,-0.4027999749773306,0.03961769954432712,0.04967351980006198
OBM,0.0,0.5,OBM,9,10000,1000000,-0.2059565307525185,0.2059565307525185,6.159306939822912,0.6768339412813356,0.5,-0.2940434692474815,0.04345278770828696,0.05354076692802976
OBM,0.0,0.525,OBM,9,10000,1000000,-0.2978007699021207,0.2978007699021207,12.877020044864366,0.8694417963425904,0.475,-0.1771992300978793,0.046430645018993175,0.058075341488384086
OBM,0.0,0.55,OBM,9,10000,1000000,-0.3494073697667698,0.3494073697667698,20.82134496356031,0.9380711091666999,0.44999999999999996,-0.10059263023323017,0.046276989938420506,0.05472793937884181
OBM,0.0,0.575,OBM,9,10000,1000000,-0.3938277995903197,0.3938277995903197,34.625216313623234,0.9799440076984322,0.42500000000000004,-0.03117220040968033,0.043302467743422626,0.050719701284848255
OBM,0.0,0.6,OBM,9,10000,1000000,-0.3948733492369411,0.3948733492369411,40.825741447540324,0.9900449365818084,0.4,-0.005126650763058904,0.039359813900339734,0.04681318159093857
OBM,0.0,0.625,OBM,9,10000,1000000,-0.3780063100082915,0.3780063100082915,42.30100200478279,0.9915258225403828,0.375,0.0030063100082914906,0.036198187364961394,0.042764561197416714
OBM,0.0,0.65,OBM,9,10000,1000000,-0.3560470105222008,0.3560470105222008,42.68737937035849,0.9930044816240595,0.35,0.006047010522200802,0.03294214965673513,0.03892898051621227
OBM,0.0,0.675,OBM,9,10000,1000000,-0.3323007519249473,0.3323007519249473,42.60562109215251,0.991084146442537,0.32499999999999996,0.007300751924947335,0.029343374266432933,0.034932712655426225
OBM,0.0,0.7,OBM,9,10000,1000000,-0.3047579606728664,0.3047579606728664,41.34343436385818,0.9879068163621089,0.30000000000000004,0.004757960672866379,0.026008593758343412,0.031075001109195748
OBM,0.0,0.725,OBM,9,10000,1000000,-0.2736376626541413,0.2736376626541413,39.007682683823795,0.9837033106070294,0.275,-0.0013623373458587218,0.0227559128676649,0.027176413897764564
OBM,0.0,0.75,OBM,9,10000,1000000,-0.24768454898065598,0.24768454898065598,38.541840011918275,0.9770438028181214,0.25,-0.0023154510193440225,0.019562343355316834,0.023315649199009164
OBM_RR,2.0,0.15,OBM-LW(lambda=2),9,10000,1000000,0.1283050110181491,-0.1283050110181491,4.159371885586186,0.9920113176285669,0.6,-0.728305011018149,0.06845959537670425,0.22788685663767297
