estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,10000,5,23.31413685502953,-4.828244167141911,0.0021978648206761,5.530043287007115,0.15,3.9810717055349722,0.1747425010840047,0.22788685663767297
OBM,0.0,10000,5,23.31413685502953,-4.828244167141911,0.0021978648206761,5.530043287007115,0.175,5.011872336272722,0.1747425010840047,0.002371652661731426
OBM,0.0,10000,6,22.125441201066725,-4.703434632103611,0.003147797341767,5.530043287007115,0.2,6.309573444801933,0.19453781259591088,0.050308605167181636
OBM,0.0,10000,8,19.95994380607062,-4.46703773087688,0.0055246227714147,5.530043287007115,0.225,7.943282347242816,0.22577249674798586,0.007114957985194649
OBM,0.0,10000,10,18.0458186113887,-4.247037115053387,0.0085049859801796,5.530043287007115,0.25,10.0,0.25,0.0
OBM,0.0,10000,13,15.576148424305808,-3.944888575829852,0.0140200736850357,5.530043287007115,0.275,12.589254117941675,0.2784858380767092,0.032105755168086385
OBM,0.0,10000,16,13.508960125247665,-3.672644835830979,0.0206658674259891,5.530043287007115,0.3,15.848931924611133,0.30102999566398114,0.009486610646926505
OBM,0.0,10000,20,11.255159303352592,-3.350244114912998,0.0310625019708789,5.530043287007115,0.325,19.952623149688797,0.32525749891599526,0.002371652661731522
OBM,0.0,10000,25,9.0628780278581,-3.002796269670516,0.0461502785591352,5.530043287007115,0.35,25.118864315095795,0.3494850021680094,0.0047433053234629385
OBM,0.0,10000,32,6.8332868305671415,-2.600583860784066,0.0703383365172275,5.530043287007115,0.375,31.622776601683793,0.37628749457997646,0.011858263308657958
OBM,0.0,10000,40,5.094074554728669,-2.234531343853573,0.1010705662724538,5.530043287007115,0.4,39.810717055349734,0.40051499783199057,0.004743305323462996
OBM,0.0,10000,51,3.5718001456417223,-1.850738342455017,0.1467511723740453,5.530043287007115,0.425,50.11872336272722,0.42689254402448407,0.017430974634448308
OBM,0.0,10000,65,2.4573141673632675,-1.4995994377621678,0.2087766644572302,5.530043287007115,0.45,63.09573444801933,0.4532283391607138,0.02973410250635483
OBM,0.0,10000,82,1.7390913216704391,-1.2054684383818683,0.2862950345287796,5.530043287007115,0.475,79.43282347242814,0.4784534630959292,0.03180757057556654
OBM,0.0,10000,103,1.3082720107031884,-0.9632953728319168,0.3808100479437366,5.530043287007115,0.5,100.0,0.503209306176293,0.02955880224154443
