estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM,0.0,0.15,OBM,5,10000,1000000,0.03937292729138293,-0.03937292729138293,16.265075601054455,0.9974065108281412,0.3,-0.3393729272913829,0.10697599982175825,0.22788685663767297
OBM,0.0,0.175,OBM,5,10000,1000000,0.036673928888331306,-0.036673928888331306,16.259093298656907,0.9085232731226456,0.35,-0.3866739288883313,0.021794417750468132,0.06467958531004617
OBM,0.0,0.2,OBM,5,10000,1000000,0.04197589216598511,-0.04197589216598511,14.447101969105297,0.851588721449913,0.4,-0.44197589216598515,0.032082485229694306,0.055051910490644874
OBM,0.0,0.225,OBM,5,10000,1000000,0.04831127454470786,-0.04831127454470786,12.344225366499257,0.8948079034877903,0.45,-0.49831127454470786,0.014266631697787113,0.02545887215676478
OBM,0.0,0.25,OBM,5,10000,1000000,0.04933961406519249,-0.04933961406519249,10.874528560080174,0.7934533022622865,0.5,-0.5493396140651925,0.018445702653383373,0.04262992197541174
OBM,0.0,0.275,OBM,5,10000,1000000,0.06759440157739127,-0.06759440157739127,7.706349540192675,0.7828896814391966,0.55,-0.6175944015773913,0.038065356767348776,0.05540977621898399
OBM,0.0,0.3,OBM,5,10000,1000000,0.05775622260442161,-0.05775622260442161,7.207193159116341,0.5969988182360869,0.6,-0.6577562226044216,0.012083859687952956,0.023201163678818436
OBM,0.0,0.325,OBM,5,10000,1000000,0.07351753860398356,-0.07351753860398356,4.8556592345777005,0.4779853653918389,0.65,-0.7235175386039836,0.04211418240208278,0.05922413249507562
OBM,0.0,0.35,OBM,5,10000,1000000,0.046252081074625494,-0.046252081074625494,5.222504107940869,0.24551255088564095,0.65,-0.6962520810746256,0.025421341780731393,0.04556529984371811
OBM,0.0,0.375,OBM,5,10000,1000000,0.03742967692891083,-0.03742967692891083,3.9250719808198498,0.11715456192449969,0.625,-0.6624296769289109,0.026249252344657005,0.0341192983723828
OBM,0.0,0.4,OBM,5,10000,1000000,0.018906397017370305,-0.018906397017370305,3.63040416636339,0.02513531862652818,0.6,-0.6189063970173703,0.04392993985798716,0.04654998906408755
