estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,10000,5,23.317002443704663,-4.8285397666205885,0.0022080058731501,5.530043287007115,0.15,3.9810717055349722,0.1747425010840047,0.22788685663767297
OBM,0.0,10000,5,23.317002443704663,-4.8285397666205885,0.0022080058731501,5.530043287007115,0.175,5.011872336272722,0.1747425010840047,0.002371652661731426
OBM,0.0,10000,6,22.128932154947083,-4.703803963497036,0.0031630638231768,5.530043287007115,0.2,6.309573444801933,0.19453781259591088,0.050308605167181636
OBM,0.0,10000,8,19.96477513858199,-4.467574870090799,0.0055545475047619,5.530043287007115,0.225,7.943282347242816,0.22577249674798586,0.007114957985194649
OBM,0.0,10000,10,18.052121382058225,-4.247772716224068,0.008555462913055,5.530043287007115,0.25,10.0,0.25,0.0
OBM,0.0,10000,13,15.584731797884318,-3.945964137083517,0.014110585556352,5.530043287007115,0.275,12.589254117941675,0.2784858380767092,0.032105755168086385
OBM,0.0,10000,16,13.519822754580378,-3.674103782760504,0.0208014826542103,5.530043287007115,0.3,15.848931924611133,0.30102999566398114,0.009486610646926505
OBM,0.0,10000,20,11.268778383486568,-3.352247515661652,0.0312410114030195,5.530043287007115,0.325,19.952623149688797,0.32525749891599526,0.002371652661731522
OBM,0.0,10000,24,9.470518432495869,-3.070410049644839,0.0431365066246953,5.530043287007115,0.35,25.118864315095795,0.3450528104279015,0.04556529984371811
OBM,0.0,10000,32,6.851977946317182,-2.604177623277876,0.0702954322628614,5.530043287007115,0.375,31.622776601683793,0.37628749457997646,0.011858263308657958
OBM,0.0,10000,38,5.486150792392259,-2.3223709622877693,0.0928212569623075,5.530043287007115,0.4,39.810717055349734,0.3949458991542025,0.04654998906408755
OBM,0.0,10000,50,3.6996006121199874,-1.8863613671138533,0.1413592041171056,5.530043287007115,0.425,50.11872336272722,0.42474250108400463,0.002371652661731537
