estimator,lam,x,ratio_mean,ratio_std,ratio_cv,ratio_min,ratio_max,log_ratio_slope,abs_log_ratio_slope
OBM,0.0,0.15,147.98735536746406,131.43335345143367,0.8881390786738129,42.70206933566286,365.7178321262056,0.4637185675508917,0.4637185675508917
OBM,0.0,0.16,130.38369329490533,113.70463641016615,0.8720771251124629,38.944750097052136,318.52691597959523,0.45371856755089135,0.45371856755089135
OBM,0.0,0.17,114.89711146364857,98.3365155179087,0.855865863512336,35.518034224518665,277.42534623922705,0.44371856755089123,0.44371856755089123
OBM,0.0,0.18,101.27060194994368,85.01733415445726,0.8395065548882573,32.39283220537521,241.62737550532597,0.4337185675508914,0.4337185675508914
OBM,0.0,0.19,89.27860740432827,73.47634944579912,0.8230006222323417,29.54261408873938,210.4486464017846,0.4237185675508913,0.4237185675508913
OBM,0.0,0.2,78.72314612904079,63.478381980173744,0.8063496582837498,26.943184271838927,183.29310857149613,0.41371856755089137,0.41371856755089137
OBM,0.0,0.21,69.43041733856862,54.8191632830884,0.7895554338348524,24.57247610268077,159.64162385563995,0.40371856755089136,0.40371856755089136
OBM,0.0,0.22,61.24782680526397,47.321290230220185,0.7726199066732133,22.410364555458923,139.04204181972642,0.3937185675508914,0.3937185675508914
OBM,0.0,0.23,54.041380570064675,40.83070738158832,0.7555452312816341,20.43849538849602,121.10055589813243,0.38371856755089156,0.38371856755089156
OBM,0.0,0.24,47.693400937907114,35.213648492217594,0.738333769446697,18.640129334434146,105.47417491071445,0.3737185675508913,0.3737185675508913
OBM,0.0,0.25,42.10052469657653,30.353977392553574,0.7209881019611581,17.0,91.86416602789143,0.36371856755089144,0.36371856755089144
OBM,0.0,0.26,37.171948499746804,26.15087620917814,0.7035110416489538,15.504184269050464,80.01034383197371,0.3537185675508912,0.3537185675508912
OBM,0.0,0.27,32.8278907300368,22.51683566352122,0.6859056479958004,14.139984108745406,69.68609629751617,0.34371856755089114,0.34371856755089114
OBM,0.0,0.28,28.998242984888304,19.37590807435381,0.6681752437363557,12.89581877549612,60.69405260130983,0.33371856755089124,0.33371856755089124
OBM,0.0,0.29,25.621387675845437,16.662188812964008,0.6503234338346274,11.761126505621924,52.86230994262003,0.32371856755089135,0.32371856755089135
